"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank"
"143","5AW4FwzZSKW1se5qWQCrR1","Piñata (Alex Goose Instrumental Remix)","https://i.scdn.co/image/845d38c13e0a32e35b4390b0d83fd0c08a258974","2015-11-13",2015-11-13,"piñata (alex goose instrumental remix)",TRUE,1,1,11
"144","41zRghNRGMG6l8dYtRp3iI","Shadow of a Doubt","https://i.scdn.co/image/93868e66570f97be2913865218c11d5c5e9b3552","2015-11-20",2015-11-20,"shadow of a doubt",TRUE,1,1,12
"145","2LCCg172ZNVAA9aFH2EPst","You Only Live 2wice","https://i.scdn.co/image/567c51cf5c6b31df14648bb1fe59161ba317995b","2017-03-31",2017-03-31,"you only live 2wice",TRUE,1,1,13
"146","6JaEv20qGvSgIHQbxwtjUu","Freddie","https://i.scdn.co/image/93540547caf82082e9e1b9f2c9ddea66ccfdfe85","2018-06-22",2018-06-22,"freddie",TRUE,1,1,14
"147","56P7aZkTGJGsYGe0DH7mqA","Astronaut Status","https://i.scdn.co/image/0a8cf8e6b0c769eb933c1313a6f4abd8759ce6da","2012-01-17",2012-01-17,"astronaut status",TRUE,1,1,1
"148","6vmsGTuTYTo5GDHkosmq2E","Pluto","https://i.scdn.co/image/9ef661c0ed098a7e7ce9121c480b247d7f468068","2012-04-17",2012-04-17,"pluto",TRUE,1,1,2
"149","1MJ0UQh7nta4JGuFYW4gCg","Pluto 3D","https://i.scdn.co/image/eace3b922138edfe3418aaed8ca52eeccca62d33","2012-11-27",2012-11-27,"pluto 3d",TRUE,1,1,3
"150","76T6VyS7a1I1EwnjUujaA9","First Class Flights","https://i.scdn.co/image/58715267963e18576304e020cd59c746300251dd","2013-03-04",2013-03-04,"first class flights",TRUE,1,1,4
"151","4anheXx4ephOE9hk1P1eCS","Notice Me","https://i.scdn.co/image/935bc136580a8990b56374beca782aa1e60f15c6","2013-05-30",2013-05-30,"notice me",TRUE,1,1,5
"152","5rbqupVSYwvEmXBUnFtUf7","Honest","https://i.scdn.co/image/3c676a934a4bff6005241ef00fa7072eec4c1a5d","2014-04-22",2014-04-22,"honest",TRUE,1,1,6
"153","5seA8nhyE1OZW5TOORKJAY","Hell and Angels","https://i.scdn.co/image/879b5eaa037622643760d43be6b8a72153ac274f","2014-10-04",2014-10-04,"hell and angels",TRUE,1,1,7
"154","6LkUDxtz8cJG3n0RbZNkDh","Beast Mode (Instrumentals)","https://i.scdn.co/image/e176921236ed80ff0010f9c0a454122e5f27670b","2015-01-25",2015-01-25,"beast mode (instrumentals)",TRUE,1,1,8
"155","3EmPSsrNgkUg9eZwNH0xfZ","Monster","https://i.scdn.co/image/35c7c3dc577a6a0b845667c44d5edd0205446a90","2015-05-12",2015-05-12,"monster",TRUE,1,1,9
"156","3dP0TFEEzTXJQKtrpsKFUj","DS2 - Track by Track Commentary","https://i.scdn.co/image/c05b3de423f8d8fbd93c54f2444d7246c1c9ac97","2015-07-15",2015-07-15,"ds2 - track by track commentary",TRUE,1,1,10
"157","0fUy6IdLHDpGNwavIlhEsl","DS2 (Deluxe)","https://i.scdn.co/image/bd2d46d98685bbb9f438d426aaa80289c3162e5f","2015-07-17",2015-07-17,"ds2",FALSE,1,0,11
"158","3jJKDKdlwRS584zUlHV2Ly","EVOL","https://i.scdn.co/image/974348240bd82a665753208268b9958437821f58","2016-04-13",2016-04-13,"evol",TRUE,1,1,12
"159","1GvR0Bjqbq1ejwjzLjrOcG","Beast Mode","https://i.scdn.co/image/202119ccf8a743d5aa414b368264e5c0a65ae6e7","2016-11-29",2016-11-29,"beast mode",TRUE,1,1,13
"160","2nB4hPkIT80DFtf7lHyviw","Zone","https://i.scdn.co/image/5274d1eace01a2b80654d429f79c4fe678fd8710","2017-02-10",2017-02-10,"zone",TRUE,1,1,14
"161","1P8NvRvykmDrKyfglMerMv","HNDRXX","https://i.scdn.co/image/9f4f496a8656c3420d0962d8a81cad76b5426277","2017-08-04",2017-08-04,"hndrxx",TRUE,1,1,15
"162","4YtTX4GPvBvewbJvBfXCS2","FUTURE","https://i.scdn.co/image/31b0a579225a718b4b1aea0ac6f9e9bdd3da17b0","2017-08-04",2017-08-04,"future",TRUE,1,1,16
"163","0US0Bhn0oOLwVqXVnz0HDb","SUPER SLIMEY","https://i.scdn.co/image/022dbd98ef85b822585ac142d377c1b576a44641","2017-10-22",2017-10-22,"super slimey",TRUE,1,1,17
"164","0C0Vs4XobImmqpr6kIasde","SUPERFLY (Original Motion Picture Soundtrack)","https://i.scdn.co/image/6e26623cbe685d031531509ac317c1644cbf7e60","2018-06-15",2018-06-15,"superfly (original motion picture soundtrack)",TRUE,1,1,18
"165","6Ew52HWkgfbth9ihRAq2Xd","BEASTMODE 2","https://i.scdn.co/image/364a7bfe62c9437d0d907ec3164e71effa5127e6","2018-07-06",2018-07-06,"beastmode 2",TRUE,1,1,19
"166","6P9PZjWXoCRF5b66BafPKY","Future & Juice WRLD Present... WRLD ON DRUGS","https://i.scdn.co/image/4a6d9b80807ee5530c561b054aed1d495c5883e0","2018-10-19",2018-10-19,"future & juice wrld present... wrld on drugs",TRUE,1,1,20
"167","3LpIwZdzFwc10psLingT8x","Future Hndrxx Presents: The WIZRD","https://i.scdn.co/image/9327e4ef81e7edd9df095feda3ddf6d3146bf523","2019-01-18",2019-01-18,"future hndrxx presents: the wizrd",TRUE,1,1,21
"168","2mbukOnfZW3KtoelIWEC4x","Ironman","https://i.scdn.co/image/379d9f56927b9502dafda9e0601556ac00391156","1996-08-19",1996-08-19,"ironman",TRUE,1,1,1
