artist_name,artist_uri,genres,artist_followers
The Game,0NbfKEOTQCcwd6o7wSDOHI,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",2384258
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",4756719
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",18415619
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap,7697676
Tyler The Creator,4V8LLVI7PbaPR0K2TGSxFF,"hip hop, rap",3719685
UGK,6ZhjJOJXXwnPS8PrXdmjLw,"dirty south rap, gangster rap, hip hop, houston rap, rap, southern hip hop, trap",489685
Vince Staples,68kEuyFKyqrdQQLLsmiatm,"conscious hip hop, escape room, hip hop, pop rap, rap, southern hip hop, underground hip hop",1019361
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",1549520
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"emo rap, miami hip hop",17428957
YG,0A0FS04o6zMoto8OKPsDwY,"cali rap, hip hop, pop rap, rap, southern hip hop, trap",2031906
Young Thug,50co4Is1HCEo8bhOyUWKpn,"atl hip hop, atl trap, gangster rap, melodic rap, pop rap, rap, trap",4769305
