artist_name,artist_uri,genres,artist_followers,remove,notes
Cuban Doll,32DuKytBMZn90iqyh2HEdc,"deep pop r&b, dfw rap, trap queen",221716,,
Damian Marley,3QJzdZJYIAcoET1GcfpNGi,"reggae, reggae fusion",1030505,1,reggae
Quando Rondo,4IprNlQiJZUUJhDl0fL2SL,"melodic rap, southern hip hop, trap",793023,,
Victoria Monet,63XBtGSEZINSyXylZxEUbv,"alternative r&b, deep pop r&b, indie r&b",115954,,Fixed artist_name
Salim Merchant,1TbRSunWGZ46mqnapcWxrm,modern bollywood,5966,1,other
Guy Sebastian,5PjekOABtfU2Kwo0AHVmci,"australian pop, australian talent show",222833,1,pop
Terrace Martin,7MNEVabc4cs19CbzAFZmXz,"alternative r&b, indie jazz, indie r&b, indie soul, neo r&b",44180,,
Billy Blue,5BE212iALXP0t9ZoyYrAHd,"bongo flava, miami hip hop",6475,,
Buku,0w2QFhEnPG6tLIvkogHbUi,"bass trap, brostep, electronic trap",32056,1,edm
Glasses Malone,1TC1Dj7qy98gBriJdOgDMh,west coast trap,23261,,
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,"melodic rap, rap, trap",4049393,,
Poo Bear,3JXpwnHbLvXxY99EuXqFPX,deep pop r&b,29796,1,pop
Janelle Monae,6ueGR6SWhUJfvEhqkvMsVs,"alternative r&b, atl hip hop, dance pop, electropop, escape room, neo soul, pop, pop rap, r&b",810354,,Fixed artist_name
MDMA,0yWq8f9U1lNXWakMwRkleB,vapor trap,2330,1,other
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"dance pop, pop, post-teen pop",19049124,1,pop
Bishop Gunn,78FpcvFFNC1ZTrUvWb0tlm,mississippi indie,19337,1,indie
UNKLE,2nszamLjZFgu3Yx77mKxuC,"alternative dance, big beat, electronica, ninja, nu jazz, trip hop",214298,1,dance
Gemini Syndrome,5plcM0NxqZcnAWQVECcjWN,gymcore,57072,1,other
Wildstylez,0wr85NuJuAYZsRzP1lJgiV,"euphoric hardstyle, hardstyle, rawstyle",137330,1,other
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"dance pop, pop, post-teen pop",41337103,1,pop
Phonte,5SyCTZ8X8YQCI0J1VRp4iC,"alternative hip hop, alternative r&b, hip hop, nc hip hop, neo r&b, neo soul",53275,,
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"atl hip hop, atl trap, pop rap, rap, trap",3311676,,
Little Dragon,6Tyzp9KzpiZ04DABQoedps,"alternative dance, alternative r&b, art pop, chillwave, dance-punk, downtempo, electronica, electropop, escape room, gothenburg indie, indie soul, indietronica, new rave, swedish electropop, swedish synthpop, trip hop",476294,1,indie
Iman Omari,1ySUvbTVNE9pyhdzcDxjg4,"alternative r&b, indie r&b, neo r&b",35771,,
88-Keys,6RedK3o51NbUJuJxXlT4kj,alternative hip hop,13634,,
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,"art pop, colombian pop, pop",805271,,
Four Tet,7Eu1txygG6nJttLHbZdQOh,"alternative dance, electronica, folktronica, indie soul, indietronica, intelligent dance music, new rave",390137,1,other
Quasimoto,1rJkz5vopfGxTUGFNB3o4G,"alternative hip hop, hardcore hip hop, hip hop",137930,,
Wild Child,1xLMexpeeTKQ20SwGMaGSK,"austindie, deep new americana, folk-pop, indie folk, stomp and holler",114138,1,indie
Viktor Vaughn,0wIb0PhwT3disoWykRhq6V,"alternative hip hop, hardcore hip hop, hip hop",60271,,
Anuel AA,2R21vXR83lH98kGeO99Y66,"latin, reggaeton flow, trap latino",10067324,1,reggaeton
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,"melodic rap, rap",1283226,,
Melii,4udfTw7V8jI4AHi7PEfJfj,"alternative r&b, deep pop r&b, pop, rap latina, trap queen",92485,,
Lihtz,3nOOI34ux3O9UCNKJ2QzIf,philly rap,1621,,
Verse Simmonds,0EgUow5z0SXVA9lunNSB1q,"deep pop r&b, trap soul",145277,,
Don Q,5TM9R6dNoJSMq23yZQD6Ee,nyc rap,78964,,
YFN Lucci,5Berubt6ysOy2LCMyqhmXP,"atl hip hop, melodic rap, rap, southern hip hop, trap",1340405,,
Tracy T,1DcWHZmzu1JT5IYWDDwHDU,"atl hip hop, deep southern trap",9308,,
Lil Snupe,42FaEHFfyxTdZQ5W28dXnj,"deep southern trap, drill",111443,,
Birdman,35sCXuy5gN6Or69rZ9vqBs,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop",611556,,
Louie V Gutta,5NaNc37mq1wkIE2gIkSmgV,deep underground hip hop,991,,
Omelly,3D7OGBAsUAB3NQzSXzZgAw,philly rap,5110,,
Masego,3ycxRkcZ67ALN3GQJ57Vig,"alternative r&b, indie soul",495211,,
Kirko Bangz,2r8r62VGJKGi463aH1HJUZ,"deep pop r&b, pop rap, rap, southern hip hop, trap",502992,,
Louie Vega,5dncbrnveDMX9DgxcedeUg,"chicago house, deep house, disco house, vocal house",25610,1,dance
Beanie Sigel,0tCtGc5vt29zFZp6KXzN50,"battle rap, east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, philly rap, pop rap, rap, southern hip hop, trap",323217,,
Young Chris,5IYKSQZErXLpHp74EIIHp1,"battle rap, philly rap",21687,,
Big Rube,39uOfkRb9XnAEW9zs3JCbb,atl hip hop,704,,
Marlo,2qFmZcrhfzbppEdD6wibAy,atl trap,8433,,
Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,"dance pop, electropop, pop, post-teen pop",1518931,1,pop
DaVido,0Y3agQaa6g2r0YmHPOO9rh,"afropop, ghanaian hip hop, nigerian pop",272513,1,other
Chantel Jeffries,2HFuviZiAYhouKgvRX0y45,la pop,46075,1,pop
Vory,0GeeIVcvGA8GSlWsoY1dkG,"canadian hip hop, trap soul",25490,,
Jose Guapo,5AQVXVBupwWBMUC1A2JOkk,"atl trap, trap, vapor trap",56488,,
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop, dance pop, pop, post-teen pop, r&b, urban contemporary",35956739,,
Damian Marley,3QJzdZJYIAcoET1GcfpNGi,"reggae, reggae fusion",1030505,1,reggae
Bishop Nehru,1b5fazYV5ecKkQHKTlwLG8,"alternative hip hop, underground hip hop",56528,,
Kurious,2eDE3plOEiudDd9q1Ev3IQ,harlem hip hop,1211,,
Prince Paul,7ajUo7DyiAOYvCndGLoJ1u,"alternative hip hop, east coast hip hop, turntablism",11744,,
Slug Christ,3AbxYdBPKqzax829J0Z0Nk,underground hip hop,19113,,Fixed artist_name
Freddie Foxxx,1fToJNxLjAEMHbvMiOpJcJ,"east coast hip hop, hardcore hip hop",7678,,
Jneiro Jarel,2EDnVAZ8Ha0eOeMtMinniB,wonky,4825,1,other
Open Mike Eagle,5CuU6SRJjbbZL926nSGGxX,"abstract hip hop, alternative hip hop, escape room",76183,,
Vinnie Paz,3rExe3A3FzAmYDlQuvW2Wx,"conscious hip hop, philly rap, rap rock",169859,,
MF Grimm,20W9F94ZPbzoMqxuekMgKi,alternative hip hop,22111,,
k.d. lang,6W1BHDF0T4a4KYcSwzD586,"canadian country, canadian pop, canadian singer-songwriter, folk, lilith, mellow gold, new wave pop, permanent wave, singer-songwriter",189606,1,country
KONGOS,58R5LHkK3vkmEyGUPOR5kS,"modern alternative rock, modern blues rock, modern rock, south african rock",223930,1,rock
Rodan,7mbHdIVGBTlLC80ngEFJAI,"louisville indie, math rock, post-hardcore, post-rock, slow core",5529,1,emo
X-Ray Spex,5BgWMOdEUJYdUBH3WXfMWt,"post-punk, pub rock, punk, riot grrrl",56818,1,emo
Thom Yorke,4CvTDPKA6W06DRfBnZKrau,"art pop, chamber pop, electronica, indie rock, new rave, oxford indie",497049,1,indie
Dr Who Dat?,3obWUpCkNW2kdL0yDYo6pV,wonky,2213,1,other
Akinyele,3P8PFi9LRirEf3JiEDOHZM,"east coast hip hop, hardcore hip hop, queens hip hop",6619,,
Chubb Rock,4dVRITwfej74WkmNpgYVPb,"east coast hip hop, electro, hardcore hip hop, hip hop, hip house, old school hip hop, rap",66578,,
Count Bass D,3P1ULKxhVEpywj0hogWT44,"alternative hip hop, jazz rap",13906,,
The Herbaliser,1O7aMVbDeSXY2LiVBhb13w,"acid jazz, big beat, downtempo, electronica, ninja, nu jazz, trip hop, turntablism",79528,,
Damu The Fudgemunk,7Mws36yO3takBR2WMsXOkM,"alternative hip hop, chillhop, hip hop, jazz boom bap, jazz rap, turntablism, underground hip hop",36028,,
Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,"british soul, neo mellow, neo soul, soul",499442,1,soul
Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,"alternative r&b, escape room, indie r&b, indie soul, neo r&b",192855,,
Xavier Omar,3UjPnt2nRmw10N58bBeNOg,"alternative r&b, indie r&b, indie soul, trap soul",192579,,Fixed artist_name
The Mindful,1HIyX7Sf528MDlAepgIZ0C,white noise,60,1,other
Ebony,3cm6Zb6gWgbshGkhl1xHYd,azonto,10903,1,other
Haleek Maul,1z3a08VnheTF9dwweVtFa3,barbadian pop,1623,1,other
