album_uri,album_name,artist,release_date,album_type,remove,notes
5rYCEmPj4b7oUSFMLnsckv,Forever Dipset,"40 Cal., Kholebeatz",3/15/16,album,,
4mgqdyIas3ALHNQ6fWiLJt,Harlem Underworld (feat. 40 Cal),"40 Cal., Kholebeatz",9/20/13,album,,
4Obao8H8PuGMjclIGQhirX,Tony Soprano,"40 Cal., Kholebeatz",8/29/14,album,,
3AgCuejBHH780ROyGkKUvj,Bullet Proof,"50 Cent, DJ Whoo Kid",1/30/07,album,,
5mbM7o2JOyyh7I4pvEzR49,U Shoulda Stayed Down,"615 Exclusive, Key Glock",4/5/19,album,2,
3fc97ZWLIMc1xawhxbKrh2,East Atlanta Love Letter,6LACK,9/14/18,album,,
2LhBfBFZVU1IyaAgo5wghT,FREE 6LACK,6LACK,11/13/17,album,,
39g2Ja05Jgah0iO3TGI11f,Seasons (with Khalid),"6LACK, Khalid",8/9/19,album,,
6YxjD9sRNGNOGGXuFzI5pF,7 Days Instrumentals,"7 Days Of Funk, Dam-Funk, Snoop Dogg",3/4/14,album,1,duplicate
53a8bJTrR57zOjTlOOm1Hl,7 Days of Funk,"7 Days Of Funk, Dam-Funk, Snoop Dogg",12/10/13,album,2,
43hS1ue7E0BnrRDhvrx5i2,The Death Of Adam,88-Keys,11/11/08,album,,
1B1xHNQnRq2nJg4xujWgBj,Wake Up Call,88-Keys,2/8/10,album,,
1a7behQFUiQ9iHjSJxiZXE,That's Life (feat. Mac Miller & Sia),"88-Keys, Mac Miller, Sia",6/20/19,album,,
0mW5Oo4TfFKpjeMrQ1DX5Z,..With All Your Friends,8Ball,8/7/09,album,,
4BVUuwY8FXoZgFkhar9JQq,Derty On Purpose: Vol. 2,8Ball,10/13/09,album,,
6wGxg73HrhpzrueFTtMhg5,Doin' it Big,8Ball,7/7/15,album,1,duplicate
7zkHt1Fg0R95Htr9Nzny8I,Life's Quest,8Ball,7/24/12,album,,
6MeuXZaamEd3rhKUjdeX2t,Memphis All Stars,8Ball,2/24/09,album,,
11JcQ6NgPsD9nU3x4LBsB9,On Da Grind: Vol. 1,8Ball,10/13/09,album,,
45aIaj44DalRptaxBI9MpH,Premro 2,8Ball,5/7/13,album,,
65vStyMNbPSGjwPZwDny51,Classic Pimpin' (live),8Ball & MJG,1/1/19,album,1,live
06SddgnxumQW8eVw2lcn9S,Comin Out Hard,8Ball & MJG,3/3/15,album,,
23dBS4H0eAN1y2hlFvCEOv,Doin' It Big (Collector's Edition),8Ball & MJG,11/23/10,album,1,duplicate
57Xb4RHWoWERXD2quCgDoU,Doin' It Big / Pimp Tight (2 for 1: Special Edition),8Ball & MJG,3/22/11,album,1,duplicate
0UeIQthYzLzoR57PxeSEVf,From the Bottom 2 the Top,8Ball & MJG,7/7/15,album,,
0sx7PwQbB76q2S8uqoYpts,Lyrics of a Pimp (Classic Remastered Version 2013),8Ball & MJG,2/20/13,album,,
0I5tNgpyWf5tIlvTFcdXuh,Memphis Underworld: Dragged-N-Chopped,8Ball & MJG,4/18/06,album,1,duplicate
