album_uri,album_name,artist,release_date
5yrvZXsfvB9hvmY61JjLBT,The Leek (Vol. 8),Chief Keef,2019-07-26
7Emb8y1pVooAMZHOUmqduR,Camp GloTiggy,Chief Keef,2019-05-31
2gG16AQytvGhsS51Xg6wh3,GloToven,Chief Keef,2019-03-15
5U0NCTYNe7ImfN7VABC6WR,The Leek (Vol. 7),Chief Keef,2019-01-18
3fft7xbsjbCB16M4PIVVkM,The Leek (Vol. 6),Chief Keef,2018-12-07
2H7gR72Pdgr6vSm7ZFgznD,Back From The Dead 3,Chief Keef,2018-10-31
1Wfr7zwBCyHH2n9A2s651R,Mansion Musick,Chief Keef,2018-07-13
5dmZ6V8zSQV5YJI6i2r3Sh,The GloFiles (Pt. 1),Chief Keef,2018-05-11
5wZxjDQqndilCFhJWtLBS0,The GloFiles (Pt. 2),Chief Keef,2018-05-11
4Carzsnpd6yvuHZ49I0oz8,"""Awaken, My Love!""",Childish Gambino,2016-12-02
5dVKggb6Nvfp7JJdLfHPof,Kauai,Childish Gambino,2014-10-03
4GNIhgEGXzWGAefgN5qjdU,Because the Internet,Childish Gambino,2013-12-10
5521VBNriW9xUAaTETHQTE,Heartbeat (Remix Bundle),Childish Gambino,2012-02-14
32KdoFFhgjCLdU0DWL71tx,Camp,Childish Gambino,2011-11-15
3fFlGU0k3z7wle0gp4wNrU,Til The Casket Drops,Clipse,2009-12-08
7L5rQPYfIMSkHdcSlRMIz6,Re-Up Gang The Saga Continues,Clipse,2008-04-22
1HftQWyKWoGsrmG5lRkJDE,Hell Hath No Fury,Clipse,2006-11-25
1Q83nQO2QG81TVa10hW7LX,Lord Willin',Clipse,2002-04-01
6Rf7DjuM5vH2SzNJytE9h4,Let Love,Common,2019-08-30
2DTbGcv40CSMW0P4yAQQBa,Black America Again,Common,2016-11-04
74hPuIcd2Wa0T3FRqtTKHX,Black America Again (Commentary),Common,2016-11-04
0ymZEUngBCetAJcJaqO63b,Nobody's Smiling (Deluxe),Common,2014-07-22
6sG3BcBh4DlQ9dzW6BHklG,Nobody's Smiling,Common,2014-07-22
17eQeA5m7DpsZ42mUAGjgG,"The Dreamer, The Believer",Common,2011-12-20
6wl2laSmw3sucFUwRlqAP2,Universal Mind Control,Common,2008-01-01
5159VIYNslxNMzF3m53kSu,Finding Forever,Common,2007-07-31
2UuvBxV56QWWj2uviGS0up,Be,Common,2005-01-01
4eD2SoySMPRl0SBv7rqk1X,Electric Circus,Common,2002-01-01
59w1ZYEEZu2sYvcyPLfKSv,Like Water For Chocolate,Common,2000-03-28
4G3BRVsGEpWzUdplFJ1VBl,uknowhatimsayin¿,Danny Brown,2019-10-04
3e7vtKJ3m1zVh38VGq2g3H,Atrocity Exhibition,Danny Brown,2016-09-27
2L32VPdX8NcICxVf6AhDqD,Hot Soup - Instrumentals,Danny Brown,2014-04-05
5SC0415RIGVX9ZfL0tfbAl,Old,Danny Brown,2013-10-08
1QESrfmlfAl19Gr8mXcysi,XXX (Deluxe Edition),Danny Brown,2012-03-13
61KN8iSYTZq58bfsCfEwiZ,Black And Brown,Danny Brown,2011-11-01
0P4u1ZRM6CXePgpeF8ShmN,The Hybrid - Deluxe Edition,Danny Brown,2010
1h19AU04eolAfpQ3ywiQGX,Hot Soup,Danny Brown,2008-07-01
46eayJPxf1cBWWUqNa2MJJ,Year Of The Snitch,Death Grips,2018-06-22
4dIPUQHheyH9e6ioplvNT2,Bottomless Pit,Death Grips,2016-05-06
0T0hdMTypoYTFhgk4ugXkN,Fashion Week,Death Grips,2016-05-06
5Y04ylQjDWsawOUJXzY4YO,The Powers That B,Death Grips,2015-02-10
3T01oOjbrox1jz0pR112oV,Government Plates,Death Grips,2014-01-14
1PQDjdBpHPikAodJqjzm6a,The Money Store,Death Grips,2012-04-20
08aqY8lv4zx4uaqBUpMD8a,No Love Deep Web,Death Grips,2012
6PkSBdx19zarn4ae1D08gA,ZUU,Denzel Curry,2019-05-31
6idVoBWP2mt1qoMtASm3gc,TA13OO,Denzel Curry,2018-07-27
42fyKPanos0Q3woi848ktg,Imperial,Denzel Curry,2016-10-14
1t05YAzxjK1HqLD2KcBjx5,32 Zel,Denzel Curry,2015-06-09
6ZnMFVV5HDv2xmHG7bn7et,Compton,Dr. Dre,2015-08-21
7q2B4M5EiBkqrlsNW8lB7N,2001,Dr. Dre,1999-11-16
3t3Ar2cJUVLY6yTRmrezI8,2001 Instrumental,Dr. Dre,1999-11-16
7dqpveMVcWgbzqYrOdkFTD,Care Package,Drake,2019-08-02
1LShhEEKRT5MNPcO7jtYHh,So Far Gone,Drake,2019-02-15
1ATL5GLyefJaxhQzSPVrLX,Scorpion,Drake,2018-06-29
1lXY618HWkwYKJWBRYR4MK,More Life,Drake,2017-03-18
0G1ffjfFuTUTVjDrVdLimH,Views,Drake,2016-05-13
15QCBYjP6HwHvsff100UBx,What A Time To Be Alive,Drake,2015-09-25
0ptlfJfwGTy0Yvrk14JK1I,If You're Reading This It's Too Late,Drake,2015-02-12
5mz0mJxb80gqJIcRf9LGHJ,Nothing Was The Same (Deluxe),Drake,2013-01-01
1XslIirSxfAhhxRdn4Li9t,Nothing Was The Same,Drake,2013-01-01
0N0EFoE8csbKxl5lxT1ylm,FEET OF CLAY,Earl Sweatshirt,2019-11-01
66at85wgO2pu5CccvqUF6i,Some Rap Songs,Earl Sweatshirt,2018-11-30
3wUv2IjD5hPrqlPakpczQa,"I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",Earl Sweatshirt,2015-03-23
5vRfIDOPJHy3W2wHWbzLlE,Doris,Earl Sweatshirt,2013-08-16
4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By,Eminem,2020-01-17
3HNnxK7NgLXbDoxRZxNWiR,Kamikaze,Eminem,2018-08-31
7cwcyW39NGUAiukHc1MOFD,Revival,Eminem,2017-12-15
6DN7GcZF1HywzrkGN6Eeqk,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05
3vOgbDjgsZBAPwV2M3bNOj,The Marshall Mathers LP2,Eminem,2013-11-05
47BiFcV59TQi2s9SkBo2pb,Recovery,Eminem,2010-06-18
7MZzYkbHL9Tk3O6WeD4Z0Z,Relapse: Refill,Eminem,2009-05-15
7h2OEj0ifXb3UdgvTmCqfY,Relapse,Eminem,2009-05-15
6HXlnhMr40FP2qBTnKXRbA,Relapse [Deluxe],Eminem,2009-05-15
1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),Eminem,2004-11-12
3mH6qwIy9crq0I9YQbOuDf,Blonde,Frank Ocean,2016-08-20
392p3shh2jkxUxY2VHvlH8,channel ORANGE,Frank Ocean,2012-01-01
31KbO7WnDp2AjPdmRTJzdf,Bandana,Freddie Gibbs,2019-06-28
3JgtFZroTUGoklTtb2xOne,Fetti,Freddie Gibbs,2018-10-31
6JaEv20qGvSgIHQbxwtjUu,Freddie,Freddie Gibbs,2018-06-22
2LCCg172ZNVAA9aFH2EPst,You Only Live 2wice,Freddie Gibbs,2017-03-31
41zRghNRGMG6l8dYtRp3iI,Shadow of a Doubt,Freddie Gibbs,2015-11-20
3MmQYoMTS3hGiBLKDuId4b,Piñata (Alex Goose Remix),Freddie Gibbs,2015-11-13
5AW4FwzZSKW1se5qWQCrR1,Piñata (Alex Goose Instrumental Remix),Freddie Gibbs,2015-11-13
0WGBGGhEa9RjcLNWkYFMuJ,Piñata (Alex Goose Remixes),Freddie Gibbs,2015-10-30
1GYG80diXFWYwH7FJB7KeC,Piñata Beats,Freddie Gibbs,2014-06-03
7nfBj1HTi3LHg5lJt1LbE4,The Tonite Show with Freddie Gibbs & The Worlds Freshest,Freddie Gibbs,2014-05-13
43uErencdmuTRFZPG3zXL1,Piñata,Freddie Gibbs,2014-03-18
2CKPvOCCB1aCh5ZHoXm5vT,ESGN - Evil Seeds Grow Naturally,Freddie Gibbs,2013-06-19
6z2F5JAAILOH3nyvNcECy8,Cold Day In Hell,Freddie Gibbs,2012-12-11
6r4A1kEu3HAGMpEYBqocVl,"Lord Giveth, Lord Taketh Away",Freddie Gibbs,2012-10-02
15k8vlPxxEjhpHAxuwSBUh,Baby Face Killa,Freddie Gibbs,2012-09-25
0zrSpGKGnSbKoeIavHiy6I,Str8 Killa,Freddie Gibbs,2010-08-03
4zv8fBnpl74bnzlYYi5Yih,Midwestgangstaboxframecadillacmuzik,Freddie Gibbs,2009-01-01
1c5SNuDvXXiD9g0IKBUh28,The Miseducation of Freddie Gibbs,Freddie Gibbs,2009
6Q3VZtyPCZFMO4cPF4828q,Monster,Future,2019-10-28
65hRa80KDworqyE8242rLN,SAVE ME,Future,2019-06-07
3LpIwZdzFwc10psLingT8x,Future Hndrxx Presents: The WIZRD,Future,2019-01-18
6P9PZjWXoCRF5b66BafPKY,Future & Juice WRLD Present... WRLD ON DRUGS,Future,2018-10-19
6Ew52HWkgfbth9ihRAq2Xd,BEASTMODE 2,Future,2018-07-06
0C0Vs4XobImmqpr6kIasde,SUPERFLY (Original Motion Picture Soundtrack),Future,2018-06-15
187UNqZ7MX3neMYkkevmdm,SUPER SLIMEY,Future,2017-10-20
7K6OykPbezfgKgBufihn6X,HNDRXX,Future,2017-07-27
17FBoXK1NU2rvJBbzdzw0r,FUTURE,Future,2017-06-30
1GvR0Bjqbq1ejwjzLjrOcG,Beast Mode,Future,2016-11-29
3jJKDKdlwRS584zUlHV2Ly,EVOL,Future,2016-04-13
0fUy6IdLHDpGNwavIlhEsl,DS2 (Deluxe),Future,2015-07-17
3dP0TFEEzTXJQKtrpsKFUj,DS2 - Track by Track Commentary,Future,2015-07-15
7EYx33pYJKBfjCaDsfIjp4,Ghostface Killahs,Ghostface Killah,2019-09-13
4hQXk5RY7rL0NMxdR0x49U,Czarface Meets Ghostface,Ghostface Killah,2019-02-15
40c7E8VG9R8U0NKft7J7Yk,Ghost Files - Bronze Tape,Ghostface Killah,2018-11-30
4t1y7sVACbddwczEcQs5HI,Ghost Files - Propane Tape,Ghostface Killah,2018-11-30
6WkwHbcr6RAIqa72NsDFea,The Lost Tapes,Ghostface Killah,2018-10-05
2fPz4Kn1vZTFZVbP0ia8Vq,Adrian Younge Presents: 12 Reasons to Die I,Ghostface Killah,2018-03-30
7yXfSAtdHFZ1pYSubEio6a,The Brown Tape,Ghostface Killah,2018-01-26
3G7WHOu9IDqO4UKyw2IfUr,Adrian Younge Presents: 12 Reasons To Die II,Ghostface Killah,2015-06-26
0hWXtK4mP6Be6AHIllknU7,Sour Soul (Instrumentals),Ghostface Killah,2015-05-18
7gP4vkln7Qmbycgx8WwTzL,Sour Soul,Ghostface Killah,2015-02-19
2MNtOTfhYOxIw5xWEQHUvZ,36 Seasons,Ghostface Killah,2014-12-09
2o8bBwp8CMxyeCg4P6KF7A,Hidden Darts Special Edition,Ghostface Killah,2010-09-22
3hPl7uRfNdRvoRW0kUzkVk,Apollo Kids,Ghostface Killah,2010-01-01
04HkBvk0hRK9rLqmdDTuB8,Wu Massacre,Ghostface Killah,2010-01-01
6D9kjJvj2pdYEfjkJZDu9s,Wu Tang Presents…Wu Massacre,Ghostface Killah,2010-01-01
4imA6mzSbTkAm0GoHh6zRF,Ghostdini Wizard Of Poetry In Emerald City,Ghostface Killah,2009-01-01
5nmN1wW90fbqNbz7ltY7rg,Pro Tools,GZA,2008-08-19
0ic6rMSwqDasuXSA7zJ1pw,The Pro Tools Instrumentals,GZA,2008-08-19
3jSH6iHYvCsAphx5eUkQNb,Grandmasters,GZA,2005-10-25
5uxYLiUKqQNoiD5rIVHnkm,Legend Of The Liquid Sword,GZA,2002-01-01
4QMKELvG0VNODbiFigj4K9,Beneath The Surface,GZA,1999-01-01
3k8xoyOXkGgZxUKgpmxz4P,Liquid Swords,GZA,1995-01-01
6jjX8mGrsWtrpYpFhGMrg1,The Sun's Tirade,Isaiah Rashad,2016-09-02
6JF49ixyHmOgS0Rsda2k42,Cilvia Demo,Isaiah Rashad,2014-01-28
4MCPd6AmA6xfmmggVgtUmP,Ruff Draft (Dilla's Mix),J Dilla,2018-04-20
0Plu6TE7pXhLuqIG9VZeoP,"J Dilla's Delights, Vol. 1",J Dilla,2017-06-16
0v9TomxoVagPyvVNGhDbyB,Motor City,J Dilla,2017-04-21
3cuTZGpaOoSETI0HChtro5,Jay Dee's Ma Dukes Collection,J Dilla,2016-12-23
339adC6BXzqIBYVfO2gqnN,Champion Sound: The Remix,J Dilla,2016-11-25
4DVqfowyeO2LGe2TZLJBU8,Jay Dee a.k.a. King Dilla,J Dilla,2016-10-17
13U6VMbPcQMgIswWcRUMnI,The Shining – the 10th Anniversary Collection,J Dilla,2016-08-19
1JKqsdbwfOK1233EOT67ZM,Jay Love Japan,J Dilla,2016-06-06
572uuU7BBaHJpkz6XhveN7,The Diary,J Dilla,2016-04-15
5kTINh4kyYiCLhneXGtKDe,"The King of Beats, Vol 2: Lost Scrolls",J Dilla,2016-02-19
0Kh9j1Van0OshA6ogFPVA9,Dillatronic,J Dilla,2015-10-30
2uneuSwxM1Sk4Ku4YqpjEA,The Diary (Instrumentals),J Dilla,2015-07-08
3rnppXWBl6wECc3tiLyG16,The King of Beats (Batch #1),J Dilla,2015-02-07
3rx0d5EBLCthDV3jWK5TOG,The King of Beats (Batch #2),J Dilla,2015-02-07
5vDuDvpv9xwrc1T4RUMpG9,The King of Beats (Batch #3),J Dilla,2015-02-07
3zlzM62D7cMQS4TXL2GNj3,The King of Beats (Batch #4),J Dilla,2015-02-07
27xemdV6LEuA82QUa0wW6d,"The King of Beats, Vol. 1",J Dilla,2015-02-07
5PerfGh9Smd6XjwkxpmL4V,Revenge Of The Dreamers III: Director's Cut,J. Cole,2020-01-16
2n3quCZ0anEa46j2IveacI,Revenge Of The Dreamers III,J. Cole,2019-07-05
4Wv5UAieM1LDEYVq5WmqDd,KOD,J. Cole,2018-04-20
3CCnGldVQ90c26aFATC1PW,4 Your Eyez Only,J. Cole,2016-12-09
1yZC8xZwv4gsmCZ4p4JWdI,"Forest Hills Drive: Live from Fayetteville, NC",J. Cole,2016-01-28
7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive,J. Cole,2014-12-09
1NfrmcXk8xNennyxQ57JcW,Born Sinner,J. Cole,2013-06-14
0fhmJYVhW0e4i33pCLPA5i,Cole World: The Sideline Story,J. Cole,2011-09-27
2oI6gtIXrvNiL2VEMmj5kY,DiCaprio 2,JID,2018-11-26
1gPqbxhs90kppgOVxGOPzd,The Never Story,JID,2017-03-10
4IAMLhL37kMrpByavj25Ne,Redemption,Jay Rock,2018-06-15
1fsvlnonD95p6VTEdQ7zJn,90059,Jay Rock,2015-09-11
6bPbKuFNW6Vausf1PExvd9,Follow Me Home,Jay Rock,2014-11-10
3MwxfLMaztuCkOnsrisxGn,From Hood Tales to the Cover of XXL,Jay Rock,2010-07-20
1NPxBmG3k3UzybcaxxSVuB,Escape From New York,Joey Bada$$,2019-05-24
6swV0WUnPygRIMgEKn6Ige,ALL-AMERIKKKAN BADA$$,Joey Bada$$,2017-04-07
4diNkL6XWhuGmSQHiyiUPt,B4.Da.$$,Joey Bada$$,2015-01-20
3s5S4XAC5HgHaTyH5Nm8ED,Joey Bada$$ / Pro Era Instrumentals,Joey Bada$$,2013-11-12
4Y05rEclWNlQLKD08SsJLC,Summer Knights,Joey Bada$$,2013-10-29
5ra51AaWF3iVebyhlZ1aqq,1999,Joey Bada$$,2012-06-12
5ilsl5R2lGACTnPZMKIp7o,All My Heroes Are Cornballs,JPEGMAFIA,2019-09-13
51WLEfPEEkzAWurvuY6Gco,Veteran,JPEGMAFIA,2018-08-22
5ZvLqwEbYbLFlAbmOElRNJ,Black Ben Carson,JPEGMAFIA,2016-02-15
0FgZKfoU2Br5sHOfvZKTI9,JESUS IS KING,Kanye West,2019-10-25
6pwuKxMUkNg673KETsXPUV,KIDS SEE GHOSTS,Kanye West,2018-06-08
2Ek1q2haOnxVqhvVKqMvJe,ye,Kanye West,2018-06-01
7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,Kanye West,2016-06-10
7D2NdGvBHIavgLhmcwhluK,Yeezus,Kanye West,2013-01-01
0A3g19AGFd9Qe3rAIkP8e0,Kanye West Presents Good Music Cruel Summer,Kanye West,2012-01-01
2P2Xwvh2xWXIZ1OWY9S9o5,Watch The Throne (Deluxe),Kanye West,2011-08-08
0OcMap99vLEeGkBCfCwRwS,Watch The Throne,Kanye West,2011-08-08
20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,Kanye West,2010-01-01
3WFTGIO6E3Xh4paEOBY9OU,808s & Heartbreak,Kanye West,2008-01-01
5fPglEDz9YEwRgbLRvhCZy,Graduation,Kanye West,2007-09-11
5ll74bqtkcXlKE7wwkMq4g,Late Registration,Kanye West,2005-09-30
3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09
4alcGHjstaALJHHiljfy3H,DAMN. COLLECTORS EDITION.,Kendrick Lamar,2017-12-08
4eLPsYPBmXABThSJ821sqY,DAMN.,Kendrick Lamar,2017-04-14
0kL3TYRsSXnu0iJvFO3rud,untitled unmastered.,Kendrick Lamar,2016-03-04
7ycBtnsMtyVbbwTfJwRjSP,To Pimp A Butterfly,Kendrick Lamar,2015-03-16
1DqhWr73Fh5yoNzKLas0G3,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012-01-01
6PBZN8cbwkqm1ERj2BGXJ1,"good kid, m.A.A.d city",Kendrick Lamar,2012
1bkN9nIkkCnXeG4yitVS1J,Section.80,Kendrick Lamar,2011-07-02
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,Kendrick Lamar,2010-09-14
5bCk3kWAy2JbbTfHqzZCII,"Passion, Pain & Demon Slayin'",Kid Cudi,2016-12-16
6e8pwYKSF9iZjpPep1DVzx,Speedin' Bullet 2 Heaven,Kid Cudi,2015-12-04
7qrXPKTQeYWTp42aJqa9s6,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi,2014-01-01
262o5a05pMUDSV2uzo5EwQ,Indicud,Kid Cudi,2013-01-01
08eM9GRdr5BCCHNqS3Wwud,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,2010-01-01
47y3PbX8oIDCkYAFylCJz0,Man On The Moon: The End Of Day,Kid Cudi,2009-01-01
2S8AWAM0nxyFy66YnUfIs3,Man On The Moon: The End Of Day (Deluxe),Kid Cudi,2009-01-01
6FtqZFgeAT84TJDpN2qbGk,Killer Mike Chronicles,Killer Mike,2015-03-31
1gvkFTPF1rKpNnbfzitx5T,R.A.P. Music [Instrumentals],Killer Mike,2012-09-18
5EAhUoAz1G3WTvIfGZvmrh,R.A.P. Music,Killer Mike,2012-05-15
26BmsM9kCoN20PS3R9VFPH,BANGx3,Killer Mike,2011-11-29
6hWhW0rklsh8f9J0OiTls6,Underground Atlanta,Killer Mike,2009
1t6Ip5Meiu0qTSQJPCc6MZ,I Pledge Allegiance to the Grind II,Killer Mike,2008-07-08
105DKMawvJxl1imfGlmtiD,The Killer,Killer Mike,2005
3zGtADK8O9cFL3x6B2yvsB,Harverd Dropout,Lil Pump,2019-02-22
2VVvm4zJlUQm9XmBCvGN6z,Lil Pump,Lil Pump,2017-10-06
5zHx5hj3bxfcN9f9VIdGaN,Songs That People Emailed Me About Asking Why I Hadn't Put Them on Streaming Platforms,Lil Ugly Mane,2019-09-11
6mueTLPXfvXjl61ymHHwY8,Oblivion Access,Lil Ugly Mane,2015-12-18
6VNXIYzXocTyZMNDLG88Gb,Mista Thug Isolation,Lil Ugly Mane,2012-02-11
6jTdFctvoG5GkE619VgIy4,Playaz Circle,Lil Ugly Mane,2011-02-01
0zicd2mBV8HTzSubByj4vP,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,2017-11-17
733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2,Lil Uzi Vert,2017-08-25
6LX75kNicFqjjiAOeZgN67,The Perfect LUV Tape,Lil Uzi Vert,2016-08-10
7mgdTKTCdfnLoa1HXHvLYM,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27
5WrbKW1nRN4vSsu70uizxX,Luv Is Rage,Lil Uzi Vert,2015-12-18
50yFYgKdwJANZ5O9MIbMkg,Tha Carter V,Lil Wayne,2018-09-28
2EZ3h6cM5eC65qSHCghdIZ,I Am Not A Human Being II,Lil Wayne,2013-03-22
6Pqlfg42Sc3ElNuyt5NUiK,I Am Not A Human Being II (Deluxe),Lil Wayne,2013-01-01
1uuSC0RCJB3dSp8Mb6GflZ,Tha Carter IV (Deluxe),Lil Wayne,2011-01-01
1MGEMBqM3v8OUM2glv7MSx,Tha Carter IV,Lil Wayne,2011-01-01
3seLEYrsszham3IxskYwt7,Tear Drop Tune Part 3,Lil Wayne,2010-02-28
5vfnsOgLqsgmEb3vGyc2FO,I Am Not A Human Being,Lil Wayne,2010-01-01
4qplno3lbet8WvuTGdDG3T,Nuthin' 2 Prove,Lil Yachty,2018-10-19
4nHOF3neSo6Y7OG5OAflkC,Lil Boat 2,Lil Yachty,2018-03-09
6upTR3RFKR7K20OnHRXDkL,Teenage Emotions,Lil Yachty,2017-05-26
1Ea4UfFW7K1UzbjkDVaPri,Summer Songs 2,Lil Yachty,2016-07-29
4bJqW1SBOvsfcEzZwsjdjx,Lil Boat,Lil Yachty,2016-07-05
2liBYuCYfW37CmNkub2BaH,DROGAS WAVE,Lupe Fiasco,2018-09-21
2utMSPHiSIHEg2vb9awgDi,DROGAS Light,Lupe Fiasco,2017-02-10
7F58zK8t8whSFjX5X09d28,Tetsuo & Youth,Lupe Fiasco,2015-01-20
5rCCCernTo6IwFwEZM4H53,Food & Liquor II: The Great American Rap Album Pt. 1,Lupe Fiasco,2012-09-25
4Um8wMKUXteqtUlFelOHrg,Lasers,Lupe Fiasco,2011-03-07
