album_uri,album_name,artist,release_date,album_type
0XLFXhashQVtfchnQ6GiQR,Wigs (feat. Asian Doll),A$AP Ferg,2019-07-12,album
6il58nazawpm0I2WUrPggy,Wigs (feat. City Girls & ANTHA),A$AP Ferg,2019-06-24,album
0qr1Fvi1haEDWVbFtekZLb,Cozy Tapes Vol. 2: Too Cozy,A$AP Mob,2017-08-25,album
3RaACfwYTY9uiDy3VSWLLc,Cozy Tapes: Vol. 1 Friends -,A$AP Mob,2016-10-31,album
0fPPktynlWuMw4VOFGCS1Y,Feels So Good,A$AP Mob,2017-08-16,album
6hFk3P1kzIsN083A8SqgXm,"Feels So Good (feat. A$AP Ferg, A$AP Nast, A$AP Rocky & A$AP Twelvyy)",A$AP Mob,2017-08-16,album
0Iv5wX7ZgeSMypWT9V4oxO,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,2017-05-23,album
25qGbr8e0Mxv2GfyRJHoXq,RAF,A$AP Mob,2017-05-22,album
3IT2LbuYGJsnL3LNgSHUOm,Wrong,A$AP Mob,2017-04-28,album
78B0rb1rWaNLgxrBuCkIdb,Wrong (feat. A$AP Rocky & A$AP Ferg),A$AP Mob,2017-04-28,album
788rHiWVrWzM8dF7IiumCB,Yamborghini High,A$AP Mob,2016-01-29,album
2WNrT4HGWNJy7xJCZ92Oot,Hella Hoes,A$AP Mob,2014-06-06,album
04HWLdpkY0sOsIm8wh6o8O,"Hella Hoes (feat. A$AP Rocky, A$AP Ferg, A$AP Nast & A$AP Twelvyy)",A$AP Mob,2014-06-06,album
6f8xb749Pxj9rX7DQqytFs,Xscape,A$AP Mob,2014-04-22,album
1ImqgYGNjfTGYEfQMYYbRs,Trillmatic,A$AP Mob,2013-12-04,album
3MATDdrpHmQCmuOcozZjDa,TESTING,A$AP Rocky,2018-05-25,album
3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP,A$AP Rocky,2015-05-26,album
6rzMufuu8sLkIizM4q9c7J,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,album
3zOkSAbg9o7gQ3yXtZhx5v,Babushka Boi,A$AP Rocky,2019-08-28,album
5Rpva1nZm0xQZQHlGQfF2F,Energy (Remixes) (feat. Sabrina Claudio) [G010004130946U],"BURNS, A$AP Rocky",2019-08-02,album
7eIzTSpFN6bs8gbFZLL8UZ,Live Fast (PUBGM),"Alan Walker, A$AP Rocky",2019-07-25,album
1269OELfNNvdgMIobuYBBt,Energy (with A$AP Rocky & Sabrina Claudio) (feat. Sabrina Claudio) [Sonny Fodera Remix],"BURNS, A$AP Rocky, Sonny Fodera",2019-07-19,album
2Scq3cyNzKxmN6L8qtWaCc,Energy (with A$AP Rocky & Sabrina Claudio),"BURNS, A$AP Rocky, Sabrina Claudio",2019-04-30,album
4xuCAF5P2diMaCbRUxNlzz,Walk (Remix),"Comethazine, A$AP Rocky",2019-03-18,album
3AlyvIIMZyT5LjWFeK5LSl,Sundress,A$AP Rocky,2018-11-20,album
02KFVEA5tnY0YnypmWY1tz,Potato Salad,"Tyler The Creator, A$AP Rocky",2018-09-28,album
67Em0g7VkNZGzICh4SZQdY,A$AP Forever (feat. Moby),A$AP Rocky,2018-04-05,album
2IB4u7CExI80gM2KbkDtDp,Bad Company (feat. BlocBoy JB),A$AP Rocky,2018-03-28,album
1CEeqK9sKrE7LzUHeT3bfP,Do What Thou Wilt.,Ab-Soul,2016-12-09,album
021zMZKO2pUA3yoUQFW2uy,These Days...,Ab-Soul,2014-06-24,album
26RLXRJA7aOOffZJGjUaSW,Control System,Ab-Soul,2012-05-11,album
446OAWTQsR7utlWr0gDkX0,Longterm Mentality,Ab-Soul,2011-04-05,album
1c7q6ozvO1KkZ81F6Jkxlv,Braille (feat. Bas),Ab-Soul,2016-10-28,album
0PFz5Im1HI2cm8KQ6wuyYH,Huey Knew (feat. Da$H),Ab-Soul,2016-09-30,album
0YF8PfcGbsKg5IaFyPnlyY,Ventura,Anderson .Paak,2019-04-12,album
3rqqwtJE89WoWvMyPTvbZc,Oxnard,Anderson .Paak,2018-11-16,album
0glWUNA3VeICkmoEp7UwXQ,Yes Lawd! Remixes,"NxWorries, Anderson .Paak, Knxwledge",2017-11-17,album
0K3FiXt6ekJTWaUku3LpHL,Yes Lawd!,"NxWorries, Anderson .Paak, Knxwledge",2016-10-21,album
4VFG1DOuTeDMBjBLZT7hCK,Malibu,Anderson .Paak,2016-01-15,album
2DOiha5oI19Dmw5M9ryHD8,Venice,Anderson .Paak,2014-10-28,album
0Hge6ViJwQegFirPFJv3MA,Then There Were Two,"Mark Ronson, Anderson .Paak, Spies in Disguise",2019-11-18,album
5nA6MO0zRVvdPSrIV7GCod,Spotify Singles - Christmas,Anderson .Paak,2018-11-14,album
6Ml78jvSDFzJhLnXKyU30z,Who R U?,Anderson .Paak,2018-11-09,album
2MdTsQBOs71AZuqETMyLY2,Tints (feat. Kendrick Lamar),Anderson .Paak,2018-10-04,album
6wVaHOp0tNrsmuuotjUtcW,Bubblin (feat. Busta Rhymes) [Remix],"Anderson .Paak, Busta Rhymes",2018-07-13,album
6N1y1a5qnqN8pBkizOdMvk,Bubblin,Anderson .Paak,2018-05-17,album
7z4UqvGprXWpQ0wo8ldLDA,'Til It's Over,Anderson .Paak,2018-04-06,album
1KvZT4NZm69EkOym8rLqW1,K.R.I.T. IZ HERE,Big K.R.I.T.,2019-07-12,album
7DUNqEpnwePiDrwO4R1xz3,TDT,Big K.R.I.T.,2019-01-11,album
6vGEX2ejVVsHTIsqI1teZg,4eva Is A Mighty Long Time,Big K.R.I.T.,2017-10-27,album
0XX3FIjtWd56K235GrjJCf,All My Life,Big K.R.I.T.,2015-11-20,album
7AUsm4Nzd6ApSgkLCHSjia,Cadillactica (Deluxe Version),Big K.R.I.T.,2014-08-25,album
2UltMFyGSTrCmIPnb5gjZX,Cadillactica (Deluxe),Big K.R.I.T.,2014-08-25,album
5ISxyfC6ThuSz2wP7NS2aF,Cadillactica,Big K.R.I.T.,2014-08-25,album
5yBkCapvSn1B6eTAbkcCfi,Live From The Underground (Explicit Version),Big K.R.I.T.,2012-01-01,album
5kE9pfTSekNenqqdlvtBQd,Live From The Underground,Big K.R.I.T.,2012-01-01,album
2JFhzEKxoiMBi7pVUmWacs,Ballad of the Bass (My Sub V),Big K.R.I.T.,2019-11-15,album
08OmDocGBNfycY9IpPLHfu,Addiction (feat. Lil Wayne & Saweetie),Big K.R.I.T.,2019-06-24,album
4daYW4Eeza2g9MjxDhVzJ0,K.R.I.T. HERE,Big K.R.I.T.,2019-06-07,album
47OFcuwa4Fdgb6PR5vTyVr,TRIFECTA,Big K.R.I.T.,2018-12-14,album
6GRzmk9UGL7odxprOPop1Q,Mos Def & Talib Kweli Are Black Star,Black Star,1998-09-29,album
5uBJpqcyMQ4PaG4tytifGq,Fix Up,Black Star,2011-11-25,album
1jToVugwBEzcak8gJNZG2f,GINGER,BROCKHAMPTON,2019-08-23,album
3Mj4A4nNJzIdxOyS4yzOhj,iridescence,BROCKHAMPTON,2018-09-21,album
5c2AzoNyr46fCQM5d8mxE0,SATURATION III,BROCKHAMPTON,2017-12-15,album
0XnqQzdSFAml08XZoRt1St,SATURATION II,BROCKHAMPTON,2017-08-25,album
67smHJOf5YlFwad6dAlppm,SATURATION,BROCKHAMPTON,2017-06-09,album
48IFY1wERoy8Lac5FuXHpc,ALL-AMERICAN TRASH,BROCKHAMPTON,2016-04-11,album
1dDce0qvYA4ewr8pJMBmA5,NO HALO,BROCKHAMPTON,2019-08-22,album
4lRiXGum7cZNDDFLebNjoj,BOY BYE,BROCKHAMPTON,2019-08-15,album
4oIbhyy9UZlP4JgN0IFciv,IF YOU PRAY RIGHT,BROCKHAMPTON,2019-08-08,album
5HqRWEyebynyWRmmoyotJU,I BEEN BORN AGAIN,BROCKHAMPTON,2019-08-01,album
2YltjwKulQeLRj4C4O7M1X,1997 DIANA,BROCKHAMPTON,2018-07-27,album
6tTJbJAS6kJpKRz0gZIWMU,1998 TRUMAN,BROCKHAMPTON,2018-07-19,album
279n8A7MneZ790ohTb6g6p,1999 WILDFIRE,BROCKHAMPTON,2018-07-07,album
5YrdESjCLUXMKaz8gQR9Js,STAINS,BROCKHAMPTON,2017-12-14,album
4PQtODnHlq5ETTwv6J3NYq,BOOGIE,BROCKHAMPTON,2017-12-12,album
1HUGoLeGEmtg1Csw88DeTs,SWEET,BROCKHAMPTON,2017-08-22,album
5woweVGZbZJD2O793D51bD,JUNKY,BROCKHAMPTON,2017-08-15,album
7AOYu7UkUTbRAGj4fBcF5M,SWAMP,BROCKHAMPTON,2017-08-08,album
5gXGNnrSkjB12HoAm1YoTz,GUMMY,BROCKHAMPTON,2017-08-02,album
1HP3EAW5SzraHJ49eENEYs,GOLD,BROCKHAMPTON,2017-05-30,album
7nn2Iaphg0Vc1NCGULkhVo,True to Self,Bryson Tiller,2017-05-26,album
6eZdwrhB97A3EYx9QppGfl,T R A P S O U L,Bryson Tiller,2015-10-02,album
2OOcufzAxz4qgzadyJaEty,Blame,Bryson Tiller,2019-07-26,album
4KaiF5ihKW95stXJ8XIR22,Canceled,Bryson Tiller,2018-09-11,album
7hhWPFOdpmA1R9pUM5iUwe,Insecure,"Jazmine Sullivan, Bryson Tiller",2017-08-04,album
69Hh6cICpfig9bfP8TBgNQ,Get Mine,Bryson Tiller,2017-05-10,album
3BjVNKsPNcmSGG5n4bHNUq,Let Me Explain,Bryson Tiller,2016-10-20,album
38Ti2htzxm39mc39WGVDut,Sorry Not Sorry,Bryson Tiller,2015-08-21,album
0fKvsayyVo5gj2Ow61GspA,Been That Way,Bryson Tiller,2015-08-21,album
33QmlmdmJnFBkKgRKXh0SJ,Don't,Bryson Tiller,2015-05-20,album
48MEn0ys0elSXOUrtVhvsL,Exchange (Igbo Version),Bryson Tiller,2015,album
7bgi7zCoDsZdlLKPonHZqP,The Big Day,Chance the Rapper,2019-07-26,album
71QyofYesSsRMwFOTafnhB,Coloring Book,Chance the Rapper,2016-05-27,album
2VBcztE58pBKjIDS5oEgFh,Acid Rap,Chance the Rapper,2013-04-30,album
6bUsvxMAuR8NXG2ujCU4yi,10 Day,Chance the Rapper,2012-04-03,album
432608DLpP0hExluDkY3Yh,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),"Guapdad 4000, Chance the Rapper, Charlie Wilson",2019-10-03,album
49bXZtlI5kQSqQMSCnSaWO,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],"Ed Sheeran, Chance the Rapper, PnB Rock",2019-06-21,album
5MKInakULmoBNApeB2ZB3A,Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",2019-05-24,album
4tvWn8rsp56lzyMKV409Og,GRoCERIES,Chance the Rapper,2019-05-17,album
3oa90TbTT5bJwCUJ5fDmvu,The Man Who Has Everything,Chance the Rapper,2018-11-30,album
6RQhltF3miWYkdfDT0JIbG,My Own Thing,Chance the Rapper,2018-11-29,album
3vmi56TsSbDKwnN9ZnWROz,Wake Up (feat. Chance the Rapper),"Tee Grizzley, Chance the Rapper",2018-11-05,album
5pQOfgCqpu4RrJAfQToFa8,I Might Need Security,Chance the Rapper,2018-07-19,album
53vsM5JN76NXiv7aj4PXK1,Work Out,Chance the Rapper,2018-07-18,album
3aMsYP1nhJx0rJ6DX6bvAe,Wala Cam,Chance the Rapper,2018-07-17,album
3SQBhLa7AkmCNWuDmJpRkD,65th & Ingleside,Chance the Rapper,2018-07-16,album
4OtCzrYbNZp8c5czzAJeUP,Angels (feat. Saba),Chance the Rapper,2015-10-27,album
5BisPwmcPAZ6jyo1GZNgIn,The GloFiles (Pt. 3),Chief Keef,2019-11-08,album
5yrvZXsfvB9hvmY61JjLBT,The Leek (Vol. 8),Chief Keef,2019-07-26,album
7Emb8y1pVooAMZHOUmqduR,Camp GloTiggy,Chief Keef,2019-05-31,album
2gG16AQytvGhsS51Xg6wh3,GloToven,"Chief Keef, Zaytoven",2019-03-15,album
13RcoaQNDCWNrBNlHaTCS3,The Leek (Vol. 7),Chief Keef,2019-01-18,album
3fft7xbsjbCB16M4PIVVkM,The Leek (Vol. 6),Chief Keef,2018-12-07,album
2H7gR72Pdgr6vSm7ZFgznD,Back From The Dead 3,Chief Keef,2018-10-31,album
1Wfr7zwBCyHH2n9A2s651R,Mansion Musick,Chief Keef,2018-07-13,album
5dmZ6V8zSQV5YJI6i2r3Sh,The GloFiles (Pt. 1),Chief Keef,2018-05-11,album
5wZxjDQqndilCFhJWtLBS0,The GloFiles (Pt. 2),Chief Keef,2018-05-11,album
4Carzsnpd6yvuHZ49I0oz8,"""Awaken, My Love!""",Childish Gambino,2016-12-02,album
5dVKggb6Nvfp7JJdLfHPof,Kauai,Childish Gambino,2014-10-03,album
4GNIhgEGXzWGAefgN5qjdU,Because the Internet,Childish Gambino,2013-12-10,album
5521VBNriW9xUAaTETHQTE,Heartbeat (Remix Bundle),Childish Gambino,2012-02-14,album
32KdoFFhgjCLdU0DWL71tx,Camp,Childish Gambino,2011-11-15,album
15k99o4mZJ9mfpQGIOrZ45,Summer Pack,Childish Gambino,2018-07-11,album
7arx9qPJexCsDz67El4qvk,This Is America,Childish Gambino,2018-05-06,album
6L4gtDcKB0RBRpx2DhHrsQ,EP (2011 Re-Release),Childish Gambino,2018-01-31,album
2G9FRPp7VGiSM2cwViy10h,What Kind of Love,Childish Gambino,2014-03-03,album
3Sg4sYHIi75iwF7mhJgAJX,3005 (Friction Remix),Childish Gambino,2014-01-01,album
5cGq3i9WnzN14QZS1obN1W,Bonfire,Childish Gambino,2011-01-01,album
3fFlGU0k3z7wle0gp4wNrU,Til The Casket Drops,Clipse,2009-12-08,album
7L5rQPYfIMSkHdcSlRMIz6,Re-Up Gang The Saga Continues,Clipse,2008-04-22,album
1HftQWyKWoGsrmG5lRkJDE,Hell Hath No Fury,Clipse,2006-11-25,album
1Q83nQO2QG81TVa10hW7LX,Lord Willin',Clipse,2002-04-01,album
0JIw8dxKBYU32zs6SOXgIG,All Eyes on Me,Clipse,2009-08-25,album
4MhBiedCLH64m2hDT5w25i,I'm Good,Clipse,2009-06-30,album
0EmBSFaDXCCN2gNWwguDO4,Kinda Like a Big Deal,Clipse,2009-05-21,album
32xwx20VobdxWJ58dYclja,Fast Life,Clipse,2008-07-08,album
13VgSaIqdj5M5ZOeVxwyuV,Mr. Me Too,Clipse,2006-05-23,album
6Rf7DjuM5vH2SzNJytE9h4,Let Love,Common,2019-08-30,album
2DTbGcv40CSMW0P4yAQQBa,Black America Again,Common,2016-11-04,album
74hPuIcd2Wa0T3FRqtTKHX,Black America Again (Commentary),Common,2016-11-04,album
0ymZEUngBCetAJcJaqO63b,Nobody's Smiling (Deluxe),Common,2014-07-22,album
6sG3BcBh4DlQ9dzW6BHklG,Nobody's Smiling,Common,2014-07-22,album
17eQeA5m7DpsZ42mUAGjgG,"The Dreamer, The Believer",Common,2011-12-20,album
6wl2laSmw3sucFUwRlqAP2,Universal Mind Control,Common,2008-01-01,album
5159VIYNslxNMzF3m53kSu,Finding Forever,Common,2007-07-31,album
2UuvBxV56QWWj2uviGS0up,Be,Common,2005-01-01,album
4eD2SoySMPRl0SBv7rqk1X,Electric Circus,Common,2002-01-01,album
59w1ZYEEZu2sYvcyPLfKSv,Like Water For Chocolate,Common,2000-03-28,album
4G3BRVsGEpWzUdplFJ1VBl,uknowhatimsayin¿,Danny Brown,2019-10-04,album
3e7vtKJ3m1zVh38VGq2g3H,Atrocity Exhibition,Danny Brown,2016-09-27,album
2L32VPdX8NcICxVf6AhDqD,Hot Soup - Instrumentals,Danny Brown,2014-04-05,album
5SC0415RIGVX9ZfL0tfbAl,Old,Danny Brown,2013-10-08,album
1QESrfmlfAl19Gr8mXcysi,XXX (Deluxe Edition),Danny Brown,2012-03-13,album
61KN8iSYTZq58bfsCfEwiZ,Black And Brown,"Black Milk, Danny Brown",2011-11-01,album
0P4u1ZRM6CXePgpeF8ShmN,The Hybrid - Deluxe Edition,Danny Brown,2010,album
1h19AU04eolAfpQ3ywiQGX,Hot Soup,Danny Brown,2008-07-01,album
7zeOQq6DQjThqgRFxHbTvH,READY TO GO,"Baauer, Channel Tres, Danny Brown",2019-12-13,album
5Qr6ONs20g2U3DCLFmVC1S,3 Tearz,Danny Brown,2019-10-01,album
2tAHWLDYBRxDqFM4d3Dns1,Best Life,Danny Brown,2019-09-17,album
44qTyEwDulRyxbQz3LtZvq,Dirty Laundry,Danny Brown,2019-09-05,album
0DSsxPOUQ09kKxfvQjetLV,Really Doe,Danny Brown,2016-09-20,album
1828pmLkhyyRx8WPaNU3ZY,Pneumonia,Danny Brown,2016-08-19,album
25FsJBnjENIDdf7DQEnPnV,When It Rain,Danny Brown,2016-06-14,album
1t9hUL9040ovyIS9HXEyc2,Fresh off the Boat Main Title Theme,Danny Brown,2015-03-31,album
5Zvl8icQnJURVkC0ZJnuuR,Smokin & Drinkin,Danny Brown,2014-07-18,album
24wuI8gOaXIVyDuodiLLqQ,25 Bucks,Danny Brown,2014-04-14,album
0ZBnYcRZmqRNFBogAchX7E,Belispeak II,"Purity Ring, Danny Brown",2012-10-10,album
46eayJPxf1cBWWUqNa2MJJ,Year Of The Snitch,Death Grips,2018-06-22,album
4dIPUQHheyH9e6ioplvNT2,Bottomless Pit,Death Grips,2016-05-06,album
0T0hdMTypoYTFhgk4ugXkN,Fashion Week,Death Grips,2016-05-06,album
5Y04ylQjDWsawOUJXzY4YO,The Powers That B,Death Grips,2015-02-10,album
3T01oOjbrox1jz0pR112oV,Government Plates,Death Grips,2014-01-14,album
1PQDjdBpHPikAodJqjzm6a,The Money Store,Death Grips,2012-04-20,album
08aqY8lv4zx4uaqBUpMD8a,No Love Deep Web,Death Grips,2012,album
2Vo2aX0ilCxqGm1blHH0VU,Shitshow,Death Grips,2018-06-18,album
6Jnge7aSI0WZFro5OTjaCu,Hahaha,Death Grips,2018-06-08,album
6G0V4gBHa4oU9PJWwVmcGn,Flies,Death Grips,2018-06-01,album
2jC2svBjrdCRFj2O0Po69G,Black Paint,Death Grips,2018-06-01,album
6LxzSJwhh6txfZCO5A1KM0,Streaky,Death Grips,2018-06-01,album
2Wuq9tP4d0FaLR1712Cs2F,Steroids (Crouching Tiger Hidden Gabber),Death Grips,2017-05-22,album
14j6VDGzfZXySRaYlIKJzA,Interview 2016,Death Grips,2016-03-22,album
2xj952lRTFfcxPpnu0R79L,Inanimate Sensation,Death Grips,2015-01-27,album
2qEqDJ20yMk7cY2PkYYgRH,Guillotine - Single,Death Grips,2011-08-03,album
6eeCs8ZeZOjfrelD8DaqL9,Full Moon (Death Classic) - Single,Death Grips,2011-04-27,album
6PkSBdx19zarn4ae1D08gA,ZUU,Denzel Curry,2019-05-31,album
6idVoBWP2mt1qoMtASm3gc,TA13OO,Denzel Curry,2018-07-27,album
42fyKPanos0Q3woi848ktg,Imperial,Denzel Curry,2016-10-14,album
1t05YAzxjK1HqLD2KcBjx5,32 Zel,Denzel Curry,2015-06-09,album
2p6ZDKxKQcDbhmawQeVXEc,SPEEDBOAT (J Rick Remix Feat. SL),"Denzel Curry, J Rick, SL",2019-12-06,album
1awYYlPxboJHZqiEFXEdTh,Tokyo Drifting,"Glass Animals, Denzel Curry",2019-11-13,album
0kWahEXdUersaxWrukioH2,Psycho,"Denzel Curry, slowthai",2019-09-10,album
2pJFftS8g9JPp57IJxHjiV,Spotify Singles,Denzel Curry,2019-07-31,album
2IH6OKfpHWi7bonXusaSRh,Shawshank [Feat. Tate Kobang],Denzel Curry,2019-07-24,album
2cDAXVSUGlfAGHuH25AGSz,BLACK BALLOONS | 13LACK 13ALLOONZ (Love Below Remixes),Denzel Curry,2019-03-29,album
51QdGnlyVLQBPofWLSngZR,Bulls on Parade (triple j Like A Version),Denzel Curry,2019-03-15,album
6Jhbv2fFOs9zxyLEwRnAfn,ALOHA,"Charlie Heat, Denzel Curry",2019-03-07,album
0JTIBD6mNsiCSHJKybFY97,"Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)","Powers Pleasant, Denzel Curry, IDK",2018-10-17,album
4u0jcVRikLvkom61PUG1j7,CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,2018-07-12,album
4uYWK9yQWjaHQwXEqvARmQ,PERCS | PERCZ,Denzel Curry,2018-05-25,album
54LKM2LRiXRchA2zqAfTnR,Uh Huh,"Denzel Curry, IDK",2018-04-13,album
7yWTsem4ar0qVYdyKOF1sS,SUMO | ZUMO,Denzel Curry,2018-03-30,album
2MH28cFMrV87K2iMtFs5pS,No Wave (feat. Denzel Curry),"IDK, Denzel Curry",2018-02-16,album
7AAfQSVbt4tCA7HFIl0Qy6,Babylon (feat. Denzel Curry) [Remixes],"Ekali, Denzel Curry",2017-10-06,album
6c5jczZdfW5w41JUB2h0ur,Skywalker,Denzel Curry,2017-08-18,album
6ZnMFVV5HDv2xmHG7bn7et,Compton,Dr. Dre,2015-08-21,album
7q2B4M5EiBkqrlsNW8lB7N,2001,Dr. Dre,1999-11-16,album
3t3Ar2cJUVLY6yTRmrezI8,2001 Instrumental,Dr. Dre,1999-11-16,album
45IcnOlgrZDKNwwbNO7CAn,I Need A Doctor,Dr. Dre,2011-02-01,album
7r3ZRX5UIxKteuTMu7vL7B,Kush,Dr. Dre,2010-01-01,album
7dqpveMVcWgbzqYrOdkFTD,Care Package,Drake,2019-08-02,album
1LShhEEKRT5MNPcO7jtYHh,So Far Gone,Drake,2019-02-15,album
