album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
4KKVfEM8MOOKt4SXodTXyl,Bag,"Future, Yung Bans",5/30/18,album,0,NA,2143,4
32vcA0f79Vz2J9Xr04w172,Ballin Like I'm Kobe,G Herbo,9/2/16,album,0,NA,2144,4
5C6eTagVXINCGyxZXxi2j2,Can't Sleep,G Herbo,11/8/19,album,0,NA,2145,4
5ECtjGOFXwDA8nVhBARKv6,Humble Beast Deluxe,G Herbo,2/16/18,album,0,NA,2146,4
05nz369VCkzWjwhlsm1kJl,Hunnit Bands,G Herbo,11/29/19,album,0,NA,2147,4
49wxzYIuUbqcyDJCbcmhOw,My Bro's a Legend,G Herbo,12/6/19,album,0,NA,2148,4
2ck2MY44Teh1XmunOyEUFV,Pistol P Project,G Herbo,3/10/17,album,0,NA,2149,4
2OGBAbD2izTlwY6W2b9856,Remember,G Herbo,12/13/19,album,0,NA,2150,4
13M3fpe48TWUmlpJru6tlt,Sessions,G Herbo,12/27/19,album,0,NA,2151,4
3LAaLOh4GM2Q1negUZ1Yiw,Still Swervin,G Herbo,2/1/19,album,0,NA,2152,4
0caX02A7W2m4PG6ZHAmeF8,Strictly 4 My Fans,G Herbo,11/25/16,album,0,NA,2153,4
1BIMDTUUagnoiq7mFtCdRT,Summer is Cancelled,G Herbo,8/30/19,album,0,NA,2154,4
2UZkY7Dr1xPY6pnkz6my2B,Welcome to Fazoland,G Herbo,11/4/16,album,0,NA,2155,4
29fiRhN89MKBLrKqPKVJhs,Focused,"G Herbo, Southside",5/24/18,album,0,NA,2156,4
34kopsbmag9UOeKI1svDCw,Some Nights,"G Herbo, Southside",7/26/18,album,0,NA,2157,4
6Ii9GOGk4v4NWJIDjAbe87,Swervo,"G Herbo, Southside",7/27/18,album,0,NA,2158,4
2eCXxokl0g95ZhBTjv9l0i,That's How I Grew Up,"G Herbo, Southside",7/20/18,album,0,NA,2159,4
2C6M7W3XuPMko8hacm8Ibo,B-Sides,G-Eazy,9/19/19,album,0,NA,2160,4
6xtugMcB7hTNJH14wYxzBJ,I Wanna Rock (feat. Gunna),G-Eazy,10/15/19,album,0,NA,2161,4
1wRnE3zgCE5oY28pzmlsqe,Must Be Nice,G-Eazy,9/26/12,album,0,NA,2162,4
77Q0xwlCfFLhUNO1Sh8ORM,Scary Nights,G-Eazy,10/18/19,album,0,NA,2163,4
1VAc77UvK5wj8ZSWCo3V2b,The Beautiful & Damned,G-Eazy,12/15/17,album,0,NA,2164,4
6wDc63NhKy2PyXdbhkRmrl,These Things Happen,G-Eazy,6/20/14,album,0,NA,2165,4
09Q3WwGYsQe5ognkvVkmCu,When It's Dark Out,G-Eazy,12/4/15,album,0,NA,2166,4
0N2i9tYtJ4EZu1s6gHzSkd,West Coast,"G-Eazy, Blueface",3/7/19,album,0,NA,2167,4
5skKnhcAVxYf2NhfqkdHt1,"West Coast (feat. Blueface, ALLBLACK & YG)","G-Eazy, Blueface, ALLBLACK",3/28/19,album,0,NA,2168,4
0KHIH7UC8WATEByfXGfYaY,Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tyga",2/7/20,album,0,NA,2169,4
2p9kN8xRHifUw2bxiLODoC,Child Of The Ghetto,G. Dep,2001,album,0,NA,2170,4
1XlmWjTtE5YCmFx2x19Z4b,Ghetto Legend,G. Dep,9/7/10,album,0,NA,2171,4
1XrgcgLKGBpy9hKtsXvY56,Let's Get It (feat. P. Diddy & Black Rob),G. Dep,6/15/01,album,0,NA,2172,4
0iD0Zx1cTg8ZgefwNqUWJA,The Hiatus Deponomics,G. Dep,6/12/08,album,0,NA,2173,4
5iD8O73p6ALRM4XATCxT78,Bad Boy,"G. Dep, Loon",2/13/07,album,0,NA,2174,4
6QH3lzZB4MIpYGhuCISHKt,Both Worlds *69,Gangsta Boo,7/31/01,album,0,NA,2175,4
5NO9yCV2HynW4xBxIKrEYp,Enquiring Minds,Gangsta Boo,9/29/98,album,0,NA,2176,4
3ksPi4jOjAQuelRWOXd55b,MISS.COM - Single,Gangsta Boo,11/19/10,album,0,NA,2177,4
6GVR4474oVFLwzynhrgNZd,On That (feat. Lil Wyte) - Single,"Gangsta Boo, La Chat",12/13/13,album,0,NA,2178,4
1p7Z5MLXyv8GdLw5Clst1T,Witch,"Gangsta Boo, La Chat",5/27/14,album,0,NA,2179,4
0wQqC1dBE5ZtczWOC8vSu6,Yea Hoe,"Gangsta Boo, Sinjin Hawke",9/9/13,album,0,NA,2180,4
1sOcokaXUekigKIFqxAnTJ,"Safety 2020 (feat. Chris Brown, Afro B & DJ Snake)","GASHI, Chris Brown, Afro B",1/24/20,album,0,NA,2181,4
1Ql4wVtKyqjnfdDvEsp9uH,Link Up (Geko x Stefflon Don x Deno x Dappy),"Geko, Stefflon Don, Deno",11/21/19,album,0,NA,2182,4
6BYNtb6ioRu8r1sylgiymg,Abrasions,"Gensu Dean, Planet Asia",2/26/13,album,0,NA,2183,4
2MNtOTfhYOxIw5xWEQHUvZ,36 Seasons,Ghostface Killah,12/9/14,album,0,NA,2184,4
3hPl7uRfNdRvoRW0kUzkVk,Apollo Kids,Ghostface Killah,1/1/10,album,0,NA,2185,4
4t1y7sVACbddwczEcQs5HI,Ghost Files - Propane Tape,Ghostface Killah,11/30/18,album,0,NA,2186,4
4imA6mzSbTkAm0GoHh6zRF,Ghostdini Wizard Of Poetry In Emerald City,Ghostface Killah,1/1/09,album,0,NA,2187,4
7EYx33pYJKBfjCaDsfIjp4,Ghostface Killahs,Ghostface Killah,9/13/19,album,0,NA,2188,4
2o8bBwp8CMxyeCg4P6KF7A,Hidden Darts Special Edition,Ghostface Killah,9/22/10,album,0,NA,2189,4
2fPz4Kn1vZTFZVbP0ia8Vq,Adrian Younge Presents: 12 Reasons to Die I,"Ghostface Killah, Adrian Younge, Linear Labs",3/30/18,album,0,NA,2190,4
3G7WHOu9IDqO4UKyw2IfUr,Adrian Younge Presents: 12 Reasons To Die II,"Ghostface Killah, Adrian Younge, Linear Labs",6/26/15,album,0,NA,2191,4
7yXfSAtdHFZ1pYSubEio6a,The Brown Tape,"Ghostface Killah, Apollo Brown",1/26/18,album,0,NA,2192,4
40c7E8VG9R8U0NKft7J7Yk,Ghost Files - Bronze Tape,"Ghostface Killah, Bronze Nazareth",11/30/18,album,0,NA,2193,4
13sFrjxKyvYWjoxTwZaiLZ,187,Giggs,2/21/19,album,0,NA,2194,4
0a1J2oCvOyL3lfqgG0ViyT,BIG BAD...,Giggs,2/22/19,album,0,NA,2195,4
2JckMCvStjcfDrJ3EK2y0n,Landlord,Giggs,8/5/16,album,0,NA,2196,4
5iFFYaOOj9KYtGdUgUW37Z,Linguo,Giggs,11/29/17,album,0,NA,2197,4
3C53Z3xy95mMCBge5EGxN4,Rap Gustavo,Giggs,11/5/16,album,0,NA,2198,4
2UAWSIueBxqi7bXSoKxQ7v,Walk in Da Park,Giggs,8/4/08,album,0,NA,2199,4
7C1MfzZy2I988m1dIEzV6o,Wamp 2 Dem,Giggs,10/6/17,album,0,NA,2200,4
4HebigVyxEbiNDMQ7AzpPV,When Will It Stop (Deluxe Edition),Giggs,10/14/13,album,0,NA,2201,4
0XD7BC2ZBhxTUALLMkGU92,Whippin Excursion,Giggs,7/22/16,album,0,NA,2202,4
3cxlSKgv1Y4fWqdcJw6hU1,$mellin Like Money (feat. MNAJ),Glasses Malone,9/8/16,album,0,NA,2203,4
4tN5SMjxc4oYpbLeK4F0jo,2Pac Must Die,Glasses Malone,7/12/19,album,0,NA,2204,4
7gThiJlIhEAo2lzslrrqRG,After Hours (feat. Dom Kennedy) - Single,Glasses Malone,6/11/15,album,0,NA,2205,4
4XDXzjwg1tYNXdZcf6RFTS,Beach Cruiser,Glasses Malone,8/30/11,album,0,NA,2206,4
6kFs1GVirSxCEnLJFmLSIw,Big Bro,Glasses Malone,7/1/15,album,0,NA,2207,4
3Bc6FuMrPr39I02t69UCWR,Flowers - Single,Glasses Malone,6/21/15,album,0,NA,2208,4
7JPdzSFUG6VNHlOvZLrwj2,GlassHouse 2: Life Ain't Nuthin But...,Glasses Malone,9/5/15,album,0,NA,2209,4
0bfMUy7NUIf2TUh0s3dQ2V,Knock It out (Nelson Cruz Walk up Song),Glasses Malone,8/8/15,album,0,NA,2210,4
4iPkHM8QzGvLRFAX2eq4QS,My World (feat. Brian McKnight) - Single,Glasses Malone,5/7/15,album,0,NA,2211,4
58xuCx5Ze4gtUbDNyydlXp,Nightmare On Seven Street,Glasses Malone,4/27/10,album,0,NA,2212,4
1HL9CYP0hFqaHPr25dYEGC,Thuggin' (feat. Kendrick Lamar & Killer Mike) [Remix] - Single,Glasses Malone,8/5/15,album,0,NA,2213,4
4csZdTMVCJ2Xc1jfb0OdlY,Money Music,"Glasses Malone, Mack 10",4/12/11,album,0,NA,2214,4
0DlSjc8o1RlK0y7NeH33mL,Coolout,GLC,2/26/16,album,0,NA,2215,4
4MbrBRf5CjBxDTsVMCZmhG,Eternal Sunshine of the Pimpin' mind,GLC,12/6/11,album,0,NA,2216,4
0wWiOr2nuOB9u8m2nxuWXl,"Love, Life & Loyalty",GLC,1/1/10,album,0,NA,2217,4
798n9hJpSTItDaZiExKF7R,Malcolm X,GLC,5/23/14,album,0,NA,2218,4
5vRuytfhIijoLbYjExPC1P,Show You What This Ism Do - Single,GLC,11/12/11,album,0,NA,2219,4
7EykzCMCRH2yS47HSx0vRf,The Anti Simp,GLC,8/7/12,album,0,NA,2220,4
1WS05r0m7TxAbg7D5jnxQw,The Flow,GLC,7/27/17,album,0,NA,2221,4
