artist_name,album_name,track_uri,track_name,feature,track_popularity,album_uri,artist,release_date,artist_uri
21 Savage,Without Warning,6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers,"Offset, Metro Boomin",16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,3oxCefEI6Tc6Z6t20J4IvH,Disrespectful,"Offset, Metro Boomin",16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,7vbjH8laThXpcBXeLNPm3M,Run Up the Racks,Metro Boomin,16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,6m6Oy3F6GG0zRwH03rWmTv,Still Serving,"Offset, Metro Boomin",16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,7vg47qMIEdLfNdTE3WLf0T,Darth Vader,"Offset, Metro Boomin",16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,1vc2YF7ZvUtwr45HNpdGch,Numb,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,55GLc4nywcX4aIlOcx1u06,FaceTime,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,5ZIZgRrrDj60O0F5oA9bVz,Bad Business,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,2aNdXtCtyoB2KrUh7pJYxO,Whole Lot,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,1mxC48728CxBA7WdKw6nFB,Close My Eyes,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,6QMlELXFU07NLdqv3DGNPI,Special,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
21 Savage,Issa Album,3rBwHfVPzmfR3ZVSliB0Om,Baby Girl,"NA",16,4QUNWTw2FsIz722xjUjFJw,21 Savage,2017-09-23,1URnnhqYAYcrqrcwql10ft
