"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank","artist"
"13","17v0WKUfqS4lRiWslYyVWh","The Rose That Grew From Concrete","https://i.scdn.co/image/f56c7029b1cd77116a4544b085f7e9f20f7c308d","2000-10-17",2000-10-17,"the rose that grew from concrete",TRUE,1,1,5,"2Pac"
"14","7AdntJMWn1KNRGcc2MwSPw","Until The End Of Time","https://i.scdn.co/image/229bf7dd3b7f8bf8eb8b3d41274fb3def7dae89e","2001-03-27",2001-03-27,"until the end of time",TRUE,1,1,6,"2Pac"
"15","5tue3HeaFm6XHyYXhI1kww","Better Dayz","https://i.scdn.co/image/5ad13f59e5c93a1682644a6077eb37cce68ad715","2002-01-01",2002-01-01,"better dayz",TRUE,1,1,7,"2Pac"
"16","27Ay0IVSnhfYB2XTEW8gn0","Nu-mixx Klazzics","https://i.scdn.co/image/ab67616d0000b27372d9dddcbd6379f0cbc85762","2003-10-07",2003-10-07,"nu-mixx klazzics",TRUE,1,1,8,"2Pac"
"17","2QVE1PUAtL4eO7CVAgwdnu","Resurrection (Music From And Inspired By The Motion Picture)","https://i.scdn.co/image/ab67616d0000b273975cbd03915653981045eafb","2003-11-04",2003-11-04,"resurrection (music from and inspired by the motion picture)",TRUE,1,1,9,"2Pac"
"18","3MJVucN9nO8WHaLo3KHuWO","Resurrection","https://i.scdn.co/image/024f66d43c6af1c7c80b051fde19755316f5db99","2003-11-14",2003-11-14,"resurrection",TRUE,1,1,10,"2Pac"
"19","33lk2GnP8cJzl7cd1OJrXn","Loyal To The Game","https://i.scdn.co/image/b3fffae06b85054c5e1cc70ed9cee9aff71e8cba","2004-01-01",2004-01-01,"loyal to the game",TRUE,1,1,11,"2Pac"
"20","0OF5nAcgm2QNTpPj24rJEB","Live","https://i.scdn.co/image/ab67616d0000b273d60e80a15ebbb9aa64eda819","2004-08-10",2004-08-10,"live",TRUE,1,1,12,"2Pac"
"21","7vwU5cQW3RZ4XrJaglir2x","All Eyez On Me","https://i.scdn.co/image/ab67616d0000b2737a9467e4a693b57c98076103","2005",2005-01-01,"all eyez on me",TRUE,1,1,13,"2Pac"
"22","2d3RwSNxvWKiKLfJtsJj8v","The Rose - Volume 2 - Music Inspired By 2pacs Poetry","https://i.scdn.co/image/ab67616d0000b273a43c2de2e799420df54ed46c","2005-09-20",2005-09-20,"the rose - volume 2 - music inspired by 2pacs poetry",TRUE,1,1,14,"2Pac"
"23","1qzfkoM52XWcEzmm8akE26","Live at the House Of Blues","https://i.scdn.co/image/b65457e29028677704343267fb1b0710b47483ad","2005-09-20",2005-09-20,"live at the house of blues",TRUE,1,1,15,"2Pac"
"24","6D0Hs5x0mIr613AU0jOSM2","Tupac: Live At The House Of Blues","https://i.scdn.co/image/d0700773c91aa399d52c11fff5dfff1fcd59d75d","2005-10-30",2005-10-30,"tupac",FALSE,1,0,16,"2Pac"
"25","6IrEpFAoaYCR8mlSYPv2Fy","Pacs Life","https://i.scdn.co/image/cf34995979c08fc009682200fe56a300866891e1","2006-01-01",2006-01-01,"pacs life",TRUE,1,1,17,"2Pac"
"26","5y1YRK4BJCQWKLHr9gcUMK","Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes)","https://i.scdn.co/image/ab67616d0000b273478cfabac647f49e3f556a91","2007-07-03",2007-07-03,"nu mixx klazzics vol. 2 (evolution: duets and remixes)",TRUE,1,1,18,"2Pac"
"27","5OJSEPm7mDBRDX5Jevjo8F","Ghetto Gospel (The Birth of A Legend)","https://i.scdn.co/image/048bff722ff6e3331e78a319e1d3eb588d67cba3","2012-11-06",2012-11-06,"ghetto gospel (the birth of a legend)",TRUE,1,1,19,"2Pac"
"28","6Q2yJuo9T7K64gJRlp5dIu","2Gangsta 2Die","https://i.scdn.co/image/ab67616d0000b273602f1b3eb86326ffccd4cbae","2019-08-01",2019-08-01,"2gangsta 2die",TRUE,1,1,20,"2Pac"
"29","1nGbXgS6toEOcFCDwEl5R3","California Love","https://i.scdn.co/image/ab67616d0000b27387364031183f81349441a45d","2019-08-01",2019-08-01,"california love",TRUE,1,1,21,"2Pac"
"30","0sJsXR422loumZhRtRLOne","Americaz Most Wanted","https://i.scdn.co/image/ab67616d0000b2736f5c3b56a4c6f97381c68dc6","2019-08-19",2019-08-19,"americaz most wanted",TRUE,1,1,22,"2Pac"
"31","2UpMdkZlJUuiJ2QYETOrSu","Rare","https://i.scdn.co/image/ab67616d0000b2738eaa6427a86d91da95552012","2003-10-15",2003-10-15,"rare",TRUE,1,1,1,"50 Cent"
"32","2pidzXTaHV4WaIJYRxKDCH","The Massacre","https://i.scdn.co/image/be6b2aa129123713817f210416b88a04100eef6a","2005-03-03",2005-03-03,"the massacre",TRUE,1,1,2,"50 Cent"
"33","4MtqyrWPHSzo4rzAnecqA0","Curtis","https://i.scdn.co/image/a7ccef4978349316b29092782a456c007b0d8ca5","2007-01-01",2007-01-01,"curtis",TRUE,1,1,3,"50 Cent"
"34","7hVj5YSiBCxZmzjnsVwKKC","Live At The Hard Rock (Edited Version)","https://i.scdn.co/image/7aa437dfa02e3268b202790ca694f6f368f83548","2007-01-01",2007-01-01,"live at the hard rock",FALSE,1,0,4,"50 Cent"
"35","3LtIWfN1EITld1LloQwl2O","Get Rich Or Die Tryin","https://i.scdn.co/image/7b736a79c8c0241ca8b4a8a79c764f51859aeafc","2007-01-01",2007-01-01,"get rich or die tryin",TRUE,1,1,5,"50 Cent"
"36","3AgCuejBHH780ROyGkKUvj","Bullet Proof","https://i.scdn.co/image/ab67616d0000b273195db6676f2a9a7b2ec7b733","2007-01-30",2007-01-30,"bullet proof",TRUE,1,1,6,"50 Cent"
"37","7eEjgXDzF8rNVUwuiXtB7Y","Before I Self-Destruct","https://i.scdn.co/image/13a0fd31a09d9e0d5c4dfc108d89e22e6f77840d","2009-01-01",2009-01-01,"before i self-destruct",TRUE,2,1,7,"50 Cent"
"38","5SGg2y6qyIqGg78XTmaYv4","Before I Self-Destruct - The Selects","https://i.scdn.co/image/de37082d307b5a690389038d32853d242343d062","2009-01-01",2009-01-01,"before i self-destruct - the selects",TRUE,1,1,8,"50 Cent"
"39","0KmKhrRc4dFTA5dHMJlm5w","Animal Ambition: An Untamed Desire To Win","https://i.scdn.co/image/def8b484a5652dc297aa499e557e7812a2d73dd1","2014-06-03",2014-06-03,"animal ambition: an untamed desire to win",TRUE,1,1,9,"50 Cent"
"40","58gsOKpgpf5kRiu9IF21k6","The Complete G-Unit","https://i.scdn.co/image/ab67616d0000b273adf0cd6f9aa3f38b906768b0","2019-05-20",2019-05-20,"the complete g-unit",TRUE,1,1,10,"50 Cent"
"41","7mbaQ9Lyh1B1YxkCufEOAd","Thug Songs","https://i.scdn.co/image/ab67616d0000b27370c490d9de852e77073d6508","2019-07-22",2019-07-22,"thug songs",TRUE,1,1,11,"50 Cent"
"42","1LGciRIo1ZelXMgUB56Oqr","Solid Gold Rhymes","https://i.scdn.co/image/1860ed8d5a5ebd53a3354d83a9e53f36025e661b","2019-09-30",2019-09-30,"solid gold rhymes",TRUE,1,1,12,"50 Cent"
"43","3kV0i1qqudjf0PGawJ4jck","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/ab67616d0000b2734ba1fe238a517021ebcc2ace","1990-04-17",1990-04-17,"peoples instinctive travels and the paths of rhythm",FALSE,1,0,1,"A Tribe Called Quest"
"44","1p12OAWwudgMqfMzjMvl2a","The Low End Theory","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1991-09-24",1991-09-24,"the low end theory",TRUE,1,1,2,"A Tribe Called Quest"
"45","4v5x3Oo3UjQ9YmF3hRAip5","Midnight Marauders","https://i.scdn.co/image/ab67616d0000b27381db9bf27bf2a04a1298eadb","1993-11-09",1993-11-09,"midnight marauders",TRUE,1,1,3,"A Tribe Called Quest"
"46","0EguP4tsJurU5I8ocCxdyb","Beats, Rhymes & Life","https://i.scdn.co/image/ab67616d0000b273e3b93c08d98f92dc3ab0146a","1996-07-30",1996-07-30,"beats, rhymes & life",TRUE,1,1,4,"A Tribe Called Quest"
"47","0FH3WsTCWaDmfpEojJ4sN2","The Love Movement","https://i.scdn.co/image/ab67616d0000b27389202df9fbd69ea49e9efe11","1998-09-29",1998-09-29,"the love movement",TRUE,1,1,5,"A Tribe Called Quest"
"48","3WvQpufOsPzkZvcSuynCf3","We got it from Here... Thank You 4 Your service","https://i.scdn.co/image/ab67616d0000b27389450c8e877bf04203b86819","2016-11-11",2016-11-11,"we got it from here... thank you 4 your service",TRUE,1,1,6,"A Tribe Called Quest"
"49","3smlfAmejcKMmAPg1G2Kki","Trap Lord","https://i.scdn.co/image/ab67616d0000b2731a4e69446bc76b4812ef115f","2013-08-19",2013-08-19,"trap lord",TRUE,1,1,1,"A$AP Ferg"
"50","2h5LDCGJCWUyaoEXQZHky6","ALWAYS STRIVE AND PROSPER","https://i.scdn.co/image/ab67616d0000b27331141e4aea4af43feace823a","2016-06-22",2016-06-22,"always strive and prosper",TRUE,1,1,2,"A$AP Ferg"
"51","0tQ7Iu6EicQTPyhYRNWjaT","Still Striving","https://i.scdn.co/image/ab67616d0000b273d79cfa3155b50beb5dbeeb9a","2017-08-18",2017-08-18,"still striving",TRUE,1,1,3,"A$AP Ferg"
"52","6bI4IQKBcLX0KsTjQ9NR97","Floor Seats","https://i.scdn.co/image/4c7faa2e80d1b1dc8716210bf9f2b2944712899d","2019-08-16",2019-08-16,"floor seats",TRUE,1,1,4,"A$AP Ferg"
"53","3RaACfwYTY9uiDy3VSWLLc","Cozy Tapes: Vol. 1 Friends -","https://i.scdn.co/image/ab67616d0000b27330eaf29813f551d9188ad35a","2016-10-31",2016-10-31,"cozy tapes: vol. 1 friends -",TRUE,1,1,1,"A$AP Mob"
"54","0qr1Fvi1haEDWVbFtekZLb","Cozy Tapes Vol. 2: Too Cozy","https://i.scdn.co/image/ab67616d0000b273ce9a92efb0c3ad4c2fb33072","2017-08-25",2017-08-25,"cozy tapes vol. 2: too cozy",TRUE,1,1,2,"A$AP Mob"
"55","5WHY4T7LcWAJPb1ddChotC","LONG.LIVE.A$AP","https://i.scdn.co/image/ab67616d0000b27327cbfcede3ccac0945fa56e1","2013",2013-01-01,"long.live.a$ap",TRUE,2,1,1,"A$AP Rocky"
"56","5b6HBIqolYQCK29Ma4tVqP","AT.LONG.LAST.A$AP","https://i.scdn.co/image/ab67616d0000b27396657f1fbb7539575be55ecb","2015-06-17",2015-06-17,"at.long.last.a$ap",TRUE,1,1,2,"A$AP Rocky"
"57","3MATDdrpHmQCmuOcozZjDa","TESTING","https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b","2018-05-25",2018-05-25,"testing",TRUE,1,1,3,"A$AP Rocky"
"58","446OAWTQsR7utlWr0gDkX0","Longterm Mentality","https://i.scdn.co/image/ab67616d0000b27331770acc5bf39b3d2875fa64","2011-04-05",2011-04-05,"longterm mentality",TRUE,1,1,1,"Ab-Soul"
"59","26RLXRJA7aOOffZJGjUaSW","Control System","https://i.scdn.co/image/ab67616d0000b273758f24ced78e29586d931404","2012-05-11",2012-05-11,"control system",TRUE,1,1,2,"Ab-Soul"
"60","021zMZKO2pUA3yoUQFW2uy","These Days...","https://i.scdn.co/image/ab67616d0000b27334f1894c26ef28b44ffd487e","2014-06-24",2014-06-24,"these days...",TRUE,1,1,3,"Ab-Soul"
"61","1CEeqK9sKrE7LzUHeT3bfP","Do What Thou Wilt.","https://i.scdn.co/image/ab67616d0000b27353803906b8e69d850567b1a8","2016-12-09",2016-12-09,"do what thou wilt.",TRUE,1,1,4,"Ab-Soul"
"62","5kE9pfTSekNenqqdlvtBQd","Live From The Underground","https://i.scdn.co/image/3c358b596ce65884852cae2b0ce4535396a73dc2","2012-01-01",2012-01-01,"live from the underground",TRUE,2,1,1,"Big K.R.I.T."
"63","5ISxyfC6ThuSz2wP7NS2aF","Cadillactica","https://i.scdn.co/image/56fd340c4dd91666cf7b21c482835bfe20bd8019","2014-08-25",2014-08-25,"cadillactica",TRUE,3,1,2,"Big K.R.I.T."
"64","0XX3FIjtWd56K235GrjJCf","All My Life","https://i.scdn.co/image/177eb996608d3bb4ca76601c96dbd6b426ce41b6","2015-11-20",2015-11-20,"all my life",TRUE,1,1,3,"Big K.R.I.T."
"65","6vGEX2ejVVsHTIsqI1teZg","4eva Is A Mighty Long Time","https://i.scdn.co/image/ab67616d0000b273f5da2c149c9b9d25ed41a87d","2017-10-27",2017-10-27,"4eva is a mighty long time",TRUE,1,1,4,"Big K.R.I.T."
"66","7DUNqEpnwePiDrwO4R1xz3","TDT","https://i.scdn.co/image/ab67616d0000b27342cd9bff6cae36cc2c82576b","2019-01-11",2019-01-11,"tdt",TRUE,1,1,5,"Big K.R.I.T."
"67","1KvZT4NZm69EkOym8rLqW1","K.R.I.T. IZ HERE","https://i.scdn.co/image/445dd6fe8b4f5f56bc0ba8c3d5916dfb069c89bb","2019-07-12",2019-07-12,"k.r.i.t. iz here",TRUE,1,1,6,"Big K.R.I.T."
"68","6GRzmk9UGL7odxprOPop1Q","Mos Def & Talib Kweli Are Black Star","https://i.scdn.co/image/95509b25aacc4273c397524619f4a54d87956e96","1998-09-29",1998-09-29,"mos def & talib kweli are black star",TRUE,1,1,1,"Black Star"
"69","6eZdwrhB97A3EYx9QppGfl","T R A P S O U L","https://i.scdn.co/image/ab67616d0000b2731dbcbe3d662ed70f27c1286b","2015-10-02",2015-10-02,"t r a p s o u l",TRUE,1,1,1,"Bryson Tiller"
"70","7nn2Iaphg0Vc1NCGULkhVo","True to Self","https://i.scdn.co/image/ab67616d0000b273202e628665f6ae3789c998c1","2017-05-26",2017-05-26,"true to self",TRUE,1,1,2,"Bryson Tiller"
"71","2TlbeyquPcCCBh39IVxpMR","Feed The Streetz","https://i.scdn.co/image/ab67616d0000b273a9a56f47b9810f19b1739edf","2015-10-09",2015-10-09,"feed the streetz",TRUE,1,1,1,"Chief Keef"
"72","2xRH7weKaBY8SHrJtTteoK","Life Of A GLO Boy","https://i.scdn.co/image/ab67616d0000b2734ca101dbe2f96da56066960e","2015-11-01",2015-11-01,"life of a glo boy",TRUE,1,1,2,"Chief Keef"
"73","0Eo8LVvxVztPyPRV0L7Ztg","Finally Rollin 2 (Deluxe Edition)","https://i.scdn.co/image/ab67616d0000b2738d74e37bda2c2ce1b24a4548","2015-11-20",2015-11-20,"finally rollin 2",FALSE,1,0,3,"Chief Keef"
"74","7IkZNsNsDBfPIO2TUdeCg3","The Leek (Vol. 3)","https://i.scdn.co/image/9803a85ba36a181622a4ad102625abf940bd957f","2015-11-20",2015-11-20,"the leek (vol. 3)",TRUE,1,1,4,"Chief Keef"
"75","05XrUzFFSVQO2m0CwLKbcy","Big Gucci Sosa","https://i.scdn.co/image/f23928377ab9dfa889347b6d9ba60736e69dd76d","2015-12-11",2015-12-11,"big gucci sosa",TRUE,1,1,5,"Chief Keef"
"76","6ck87dVzuvD6d6ckcb8dO1","Nobody 2","https://i.scdn.co/image/4b732abdb5a9f34073c6f025eb6d0aed81b39c00","2016-12-02",2016-12-02,"nobody 2",TRUE,1,1,6,"Chief Keef"
"77","24wBNDuNst0P8J6FXmKa3U","Two Zero One Seven (Deluxe Edition)","https://i.scdn.co/image/d0c0ce0f686379096034c1f418b8dd7576f30f21","2017-01-13",2017-01-13,"two zero one seven",FALSE,1,0,7,"Chief Keef"
"78","33KYUrKPijvlvO7lDtFKiO","I Am Nobody","https://i.scdn.co/image/ab67616d0000b273a6246e22b637f057dad3c639","2017-04-21",2017-04-21,"i am nobody",TRUE,1,1,8,"Chief Keef"
"79","5Ru6oeqwPzX6wN7VWhKfQp","Thot Breaker","https://i.scdn.co/image/abdd9dcdd774d5eeb2320e985330c62f8458371e","2017-06-08",2017-06-08,"thot breaker",TRUE,1,1,9,"Chief Keef"
"80","6EaAbqTwbmeqXxzXj32XeF","The W","https://i.scdn.co/image/ab67616d0000b2731cbd5bf9afc70e4b73f0d0cc","2017-09-03",2017-09-03,"the w",TRUE,1,1,10,"Chief Keef"
"81","7BWglVHlIpRls1Hb0EAKJM","Dedication","https://i.scdn.co/image/ab67616d0000b273cbf88f2caeb40f72fcdcd8b3","2017-12-01",2017-12-01,"dedication",TRUE,1,1,11,"Chief Keef"
"82","1rNnjxMyzfmjmHo8H4zRCd","The Leek (Vol. 4)","https://i.scdn.co/image/ab67616d0000b273efcc4ef795882ee2097eb1d5","2018-03-02",2018-03-02,"the leek (vol. 4)",TRUE,1,1,12,"Chief Keef"
"83","29Ok6gMq1ZuUkIfZSKBn7A","The Leek (Vol. 5)","https://i.scdn.co/image/ab67616d0000b2735a60e6d266fd9eb9c533401c","2018-03-23",2018-03-23,"the leek (vol. 5)",TRUE,1,1,13,"Chief Keef"
"84","5dmZ6V8zSQV5YJI6i2r3Sh","The GloFiles (Pt. 1)","https://i.scdn.co/image/ab67616d0000b273eb2fc22f3d8149102f7b2b6c","2018-05-11",2018-05-11,"the glofiles (pt. 1)",TRUE,1,1,14,"Chief Keef"
"85","5wZxjDQqndilCFhJWtLBS0","The GloFiles (Pt. 2)","https://i.scdn.co/image/f7dcff7711ae0cfdb04b9cb8bf61b3b44bee4155","2018-05-11",2018-05-11,"the glofiles (pt. 2)",TRUE,1,1,15,"Chief Keef"
"86","7i3qkHx3vl9vaNKOMctLS0","Mansion Musick","https://i.scdn.co/image/10ff16a955916d239ed74f3b860e68b9500eafba","2018-07-13",2018-07-13,"mansion musick",TRUE,1,1,16,"Chief Keef"
"87","2H7gR72Pdgr6vSm7ZFgznD","Back From The Dead 3","https://i.scdn.co/image/ab67616d0000b273e399065237b9303946096a1e","2018-10-31",2018-10-31,"back from the dead 3",TRUE,1,1,17,"Chief Keef"
"88","3fft7xbsjbCB16M4PIVVkM","The Leek (Vol. 6)","https://i.scdn.co/image/ab67616d0000b273b792bcbcce8144c301c5e292","2018-12-07",2018-12-07,"the leek (vol. 6)",TRUE,1,1,18,"Chief Keef"
"89","5U0NCTYNe7ImfN7VABC6WR","The Leek (Vol. 7)","https://i.scdn.co/image/ab67616d0000b2738f287a92a929eadc5c3aec96","2019-01-18",2019-01-18,"the leek (vol. 7)",TRUE,1,1,19,"Chief Keef"
"90","2gG16AQytvGhsS51Xg6wh3","GloToven","https://i.scdn.co/image/ab67616d0000b273804d10930d18ce442774ccd0","2019-03-15",2019-03-15,"glotoven",TRUE,1,1,20,"Chief Keef"
"91","4NGx8eDrb6IosDuXpejiq0","Camp GloTiggy","https://i.scdn.co/image/ab67616d0000b273db32d0a5ccb3e5a9b79b1c34","2019-05-31",2019-05-31,"camp glotiggy",TRUE,1,1,21,"Chief Keef"
"92","5yrvZXsfvB9hvmY61JjLBT","The Leek (Vol. 8)","https://i.scdn.co/image/ab67616d0000b273993e4b9f53c229d85ec29d48","2019-07-26",2019-07-26,"the leek (vol. 8)",TRUE,1,1,22,"Chief Keef"
"93","5BisPwmcPAZ6jyo1GZNgIn","The GloFiles (Pt. 3)","https://i.scdn.co/image/5a52aa322759b8bce6bebdf3a32dc29408fac01c","2019-11-08",2019-11-08,"the glofiles (pt. 3)",TRUE,1,1,23,"Chief Keef"
"94","1beC92PkyCuvr8gOUeR0wW","Camp (Deluxe Edition)","https://i.scdn.co/image/d56feb369713a8bdec5d26ec711555718e6ce9ad","2011",2011-01-01,"camp",FALSE,2,0,1,"Childish Gambino"
"95","5521VBNriW9xUAaTETHQTE","Heartbeat (Remix Bundle)","https://i.scdn.co/image/ab67616d0000b273a8253be1d6221d6e21dc3713","2012-02-14",2012-02-14,"heartbeat (remix bundle)",TRUE,1,1,2,"Childish Gambino"
"96","4GNIhgEGXzWGAefgN5qjdU","Because the Internet","https://i.scdn.co/image/ab67616d0000b273fce23dadb51975ebf2e9d75c","2013-12-10",2013-12-10,"because the internet",TRUE,1,1,3,"Childish Gambino"
"97","5dVKggb6Nvfp7JJdLfHPof","Kauai","https://i.scdn.co/image/ab67616d0000b2738d2c4d1fa63ca708307a5308","2014-10-03",2014-10-03,"kauai",TRUE,1,1,4,"Childish Gambino"
"98","5F6urHPW92kWUoywW7ZhwF","""Awaken, My Love!""","https://i.scdn.co/image/b12f120f8ac28391dad7ef472b7343fb403fdd6f","2016-12-02",2016-12-02,"""awaken, my love!""",TRUE,1,1,5,"Childish Gambino"
"99","1Q83nQO2QG81TVa10hW7LX","Lord Willin","https://i.scdn.co/image/ab67616d0000b27395bf7f7dac7b61a95d47f07e","2002-04-01",2002-04-01,"lord willin",TRUE,1,1,1,"Clipse"
"100","3hs7Vj7dQJBGshp5Mo6Iop","Hell Hath No Fury","https://i.scdn.co/image/ab67616d0000b273cf051ec113ec189321f72a2a","2006-11-28",2006-11-28,"hell hath no fury",TRUE,1,1,2,"Clipse"
"101","7L5rQPYfIMSkHdcSlRMIz6","Re-Up Gang The Saga Continues","https://i.scdn.co/image/ab67616d0000b27326cebc4755637b8fd93eb974","2008-04-22",2008-04-22,"re-up gang the saga continues",TRUE,1,1,3,"Clipse"
"102","7nlXoXcGb9DdnUm9iCfQon","Til The Casket Drops","https://i.scdn.co/image/ab67616d0000b273dcc6221e8f32eefa760fd619","2010-04-01",2010-04-01,"til the casket drops",TRUE,1,1,4,"Clipse"
"103","5CcW5rXAUdUUail7aaDwNi","Can I Borrow A Dollar?","https://i.scdn.co/image/ab67616d0000b27308d06289eee5a778d25bd239","1992-10-06",1992-10-06,"can i borrow a dollar?",TRUE,1,1,1,"Common"
"104","0JKjuvDUPrnlblAZyB1Aje","Resurrection","https://i.scdn.co/image/ab67616d0000b2734f6c3df7fe1ee45e0f732d76","1994-10-25",1994-10-25,"resurrection",TRUE,1,1,2,"Common"
"105","6nXto9rlPmmhdoUmGMKbtE","One Day Itll All Make Sense","https://i.scdn.co/image/6fba6ad7940542c120accd83d9bef35d14eccb85","1997-09-30",1997-09-30,"one day itll all make sense",TRUE,1,1,3,"Common"
"106","59w1ZYEEZu2sYvcyPLfKSv","Like Water For Chocolate","https://i.scdn.co/image/cd53b9eb6e3380875397eb604159e69aa4a6dbcd","2000-03-28",2000-03-28,"like water for chocolate",TRUE,1,1,4,"Common"
"107","5WRbHe6NaCp8jNa38g7hUd","Electric Circus","https://i.scdn.co/image/7cf2c496b70dd693434a827e99f3ed277a9faf7b","2002-12-10",2002-12-10,"electric circus",TRUE,1,1,5,"Common"
"108","2UuvBxV56QWWj2uviGS0up","Be","https://i.scdn.co/image/2a2105f4adcc36f8f5b111ad27a06a8c77180d24","2005-01-01",2005-01-01,"be",TRUE,1,1,6,"Common"
"109","4Jq4PRvkyBUceUFMS2d4jR","Finding Forever","https://i.scdn.co/image/268c8861fd4f92a0a86da520df282ad4d056d4b8","2007-07-31",2007-07-31,"finding forever",TRUE,1,1,7,"Common"
"110","2EejRWDjKI2hruzpTykT5d","Finding Forever (instrumentals)","https://i.scdn.co/image/a216dfd300447c25f8f27e196aad0038f61ae49b","2007-07-31",2007-07-31,"finding forever (instrumentals)",TRUE,1,1,8,"Common"
"111","2jzKET5pyoYCqtqROFFU5b","Universal Mind Control","https://i.scdn.co/image/4ada8930b94e77b552f4a811a8f00b4ba6c90c47","2008-12-09",2008-12-09,"universal mind control",TRUE,1,1,9,"Common"
"112","17eQeA5m7DpsZ42mUAGjgG","The Dreamer, The Believer","https://i.scdn.co/image/ab67616d0000b273c0e5b994774f9cbb18fcda01","2011-12-20",2011-12-20,"the dreamer, the believer",TRUE,1,1,10,"Common"
"113","6sG3BcBh4DlQ9dzW6BHklG","Nobodys Smiling","https://i.scdn.co/image/67790d01e124faf956322dc62206e3496dd43d6b","2014-07-22",2014-07-22,"nobodys smiling",TRUE,2,1,11,"Common"
"114","56YOtiHan5yESL5UMju85p","Live at The Jazz Room","https://i.scdn.co/image/ab67616d0000b273fe99616b6973bdb6aebadaf3","2016-03-18",2016-03-18,"live at the jazz room",TRUE,1,1,12,"Common"
"115","2DTbGcv40CSMW0P4yAQQBa","Black America Again","https://i.scdn.co/image/1ce66962f7aa5f286369a4071587abefad887bfb","2016-11-04",2016-11-04,"black america again",TRUE,1,1,13,"Common"
"116","74hPuIcd2Wa0T3FRqtTKHX","Black America Again (Commentary)","https://i.scdn.co/image/1ce66962f7aa5f286369a4071587abefad887bfb","2016-11-04",2016-11-04,"black america again (commentary)",TRUE,1,1,14,"Common"
"117","6Rf7DjuM5vH2SzNJytE9h4","Let Love","https://i.scdn.co/image/ab67616d0000b2734eba559b50e9134d029722e6","2019-08-30",2019-08-30,"let love",TRUE,1,1,15,"Common"
"118","1h19AU04eolAfpQ3ywiQGX","Hot Soup","https://i.scdn.co/image/ab67616d0000b27333945568b8f585a1a588b257","2008-07-01",2008-07-01,"hot soup",TRUE,1,1,1,"Danny Brown"
